Date,Close,High,Low,Open,Volume,ZR,CP,GR,XL,IF,YP,CC,AD,AO,KK,FS,AT,DX,XC,FZ,MU,AZ,HP,PC,MG,YJ,PD,DR,XA,EP,KI,RS,AG,AI,SQ,TP,OD,QA,BQ,AK,NI,YU,PG,YB,ZP,KZ,LG,RB,HD,ID,RO,DH,JB,AF,SS,CD,IN,RF,BB,GI,ES,BR,SA,GA,AR,PP,SH,DU,IU,IH,IT,BS,AH,MI,PI,RG,SF,BF,PO
2026-07-13,204.0,282.0,200.0,280.0,3399398700,-0.0197,0.4528,1.1,73.2,10.7,-2.3,48.4,0.0,-3.9,5.6,0.3143,0.6378,0.0,13.9,0.0,0.0,0.4191,0.4066,-0.0683,-7.9,-0.1739,10.3,3.1,-2.2,0.729,1.6,0.0,-0.0944,0.0,7.5,8.9,10.3,0.0,0.4668,0.0,11.3,-36.0,0.0,0.0,-6.4,0.0,-149.2,-0.1178,-0.6617,0.0,0.3931,0.7606,0.0,-0.2528,1.3,0.0,-2.4,-0.9502,0.47,0.0,0.0,0.0,-1.1,-0.0955,0.0,0.0,0.0,0.4664,-0.4106,-0.0224,0.0,0.0,0.0,0.0,-0.0181,-0.1178,-0.0986,-0.1848,-0.0079
2026-07-14,218.0,228.0,187.0,204.0,1174433600,0.0,1.6,3.9,-8.4,-0.0491,-0.0705,-4.1,0.0,-0.0852,-0.9389,0.5315,-0.0925,0.0,-3.8,0.0305,0.0036,15.5,0.0124,0.0,-1.5,0.0,2.9,-0.9742,-0.2865,-0.2686,-0.194,0.0,-0.1138,1.9,-0.1435,0.0,2.2,-0.0614,-0.074,1.3,-2.7,-3.4,-0.2207,-0.1922,0.2504,3.2,-5.4,0.0,0.054,0.0037,-0.1239,-0.4202,0.0003,0.0,0.6267,0.007,0.0,0.0,-0.3821,0.0005,0.0085,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0
2026-07-15,272.0,272.0,216.0,218.0,2182677300,0.0,-0.5283,-1.6,-18.2,0.0632,-4.8,-25.7,0.0,0.0,-2.7,0.0,-0.2185,0.0,-7.9,0.0,0.0,7.8,1.6,0.0,7.1,0.0,-2.7,-0.5447,-0.4382,-0.2875,-0.4031,0.0,0.0,4.6,-0.2998,-2.4,-5.0,-0.1524,0.1182,47.6,-2.6,6.4,0.0,-0.4919,-0.7322,0.0,-2.1,-0.0843,0.0349,0.0,-0.0833,0.0,0.0194,0.0,4.2,0.0,0.2511,0.0,0.6,0.0001,-0.1244,0.3415,0.0,0.0,0.022,0.0005,-0.1807,0.0,0.015,0.0233,0.0068,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,254.0,314.0,240.0,278.0,2644202000,0.0,3.5,-2.3,52.0,-1.1,9.6,41.0,-0.0001,0.0,4.0,0.0,0.496,0.0,13.1,0.576,0.0,2.2,-0.8907,0.0,-7.8,-0.0307,5.3,1.3,1.0,1.6,-0.0052,0.0,0.4682,-0.7041,4.6,-0.6527,6.5,0.0,-0.239,-41.4,11.1,6.1,0.0,0.4602,1.1,0.0,-104.4,0.0,0.4283,0.0,0.3664,1.2,-0.0225,-0.0145,1.5,-0.0129,-0.1715,-0.0001,-11.4,-0.0,-0.3242,0.4144,-0.0112,-0.0005,-0.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,250.0,270.0,244.0,254.0,640770100,-0.0016,0.6892,0.2286,-0.1159,0.0758,1.1,-0.0313,-0.004,0.1487,0.0636,0.3828,0.115,-0.0086,-0.0934,-0.1624,-0.0003,0.0965,-0.2534,0.0202,-0.1632,0.3661,-0.4006,0.0823,-0.2358,-0.2433,-0.0328,-0.0003,0.0589,-0.0096,3.1,0.1265,0.7377,0.0211,-0.0476,0.433,-3.3,-4.2,-0.0014,0.2145,0.1041,1.3,0.0349,-0.001,0.0242,0.0152,0.0254,-0.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,238.0,260.0,230.0,250.0,430381500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,240.0,246.0,228.0,240.0,439090100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,232.0,244.0,230.0,242.0,172179800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,230.0,240.0,230.0,234.0,235648800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,214.0,228.0,210.0,226.0,170668700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
