Date,Close,High,Low,Open,Volume,HD,XL,PD,EP,XC,MG,SQ,DH,AZ,NI,HP,LG,TP,RO,KI,GR,IH,YP,CC,OD,KK,DR,YU,MU,BQ,AG,XA,QA,AK,IF,CP,AI
2026-07-13,236.0,240.0,236.0,240.0,746800,0.0,0.0275,-0.0731,-0.0005,0.0013,0.0,-0.0039,0.0103,0.0002,0.0009,0.0001,0.0001,0.0,-0.0003,0.0001,0.0,0.0,0.0376,0.0019,0.0006,-0.072,0.0499,0.0015,0.0,0.0,0.0,0.0238,0.0,-0.0062,0.0,0.0,0.0
2026-07-14,240.0,240.0,236.0,238.0,638500,0.0,-0.0532,-0.0517,0.0001,-0.0011,0.0,0.0004,-0.0002,0.0005,-0.0006,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0713,0.0262,-0.0051,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0016
2026-07-15,240.0,240.0,234.0,240.0,843100,0.0,0.0181,0.1214,0.0,0.0163,0.0,0.0007,0.0,-0.0048,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,-0.0112,-0.0048,-0.1432,0.0003,0.006,0.0,0.0,0.0002,0.0,200.0,-0.0001,0.0,0.0,0.0
2026-07-16,240.0,240.0,236.0,240.0,223900,0.0,0.0052,0.0042,0.0002,-0.0123,0.0,0.0003,0.0,-0.0003,-0.0078,0.0,0.0,0.0,0.0004,0.001,0.0,0.0,0.0004,0.0061,0.0002,0.0002,0.0,0.0,-0.0,-0.0,0.0005,0.0,-0.0002,-0.0001,0.0022,0.0,0.0
2026-07-17,244.0,246.0,236.0,240.0,817600,0.0007,-0.0097,-0.0331,0.0,-0.0017,0.079,-0.0,-0.0042,-0.0049,0.0001,0.0001,0.0003,0.0038,0.0048,-400.0,-0.0256,-0.0024,-0.0008,-0.0064,0.0008,-0.0006,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,242.0,248.0,242.0,244.0,841100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,246.0,246.0,244.0,244.0,253200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,244.0,248.0,242.0,246.0,713100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,244.0,246.0,242.0,244.0,300300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,242.0,246.0,242.0,244.0,192400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
