Date,Close,High,Low,Open,Volume,PD,CC,YP,XL,XA,EP,KK,AT,XC,SQ,OD,BQ,AK,NI,AZ,YB,MG,CP,GR,AD,KI,AG,DX,GI,RO,DH,YJ,IF,FS,YU,LG
2026-07-13,138.0,150.0,131.0,142.0,222200,0.0025,0.0028,0.0005,-0.0092,0.0,0.0,0.0014,0.0,0.0015,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,139.0,143.0,134.0,138.0,81100,0.0009,0.0001,0.0,0.0037,0.0,0.0,-0.0046,0.0,-0.0,-0.0,0.0,-0.0001,0.0,0.0,-600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,142.0,175.0,134.0,139.0,5976500,-0.0158,-0.0116,0.013,0.0347,0.0,0.0003,-0.0587,0.0002,0.0098,-0.0015,0.0065,-0.0057,0.0,0.0097,0.0,0.0009,-0.0004,-0.0006,0.0191,-0.0001,0.0017,0.0,0.0,0.0,0.0,0.0008,-0.0032,-0.0,0.0027,-0.0012,-0.0007
2026-07-16,159.0,179.0,143.0,144.0,8200800,-0.0022,-0.0294,-0.0076,0.064,0.0002,0.0082,-0.0032,0.0012,-0.0127,0.0,0.0097,-0.0004,-0.0007,-0.0083,-0.0,0.0,-0.0003,0.0004,-0.0164,0.0,-0.0018,-0.0,0.0,-0.0,0.0002,-0.0009,0.0,0.0,0.0,0.0,0.0
2026-07-17,162.0,172.0,157.0,170.0,835500,0.0002,0.0065,0.0105,-0.0118,-0.0002,-0.0067,0.0145,-0.0011,-0.0102,0.0,0.0001,-0.0008,0.0,-0.0004,-300.0,-0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,156.0,162.0,148.0,162.0,275200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,152.0,160.0,147.0,160.0,382800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,155.0,155.0,150.0,155.0,250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,149.0,159.0,148.0,155.0,665500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,137.0,155.0,137.0,155.0,460900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
