Date,Close,High,Low,Open,Volume,IH,NI,XA,CC,OD,II,ID,YB,SH,DR,SQ,YP,ES,HP,XC,LG,FS,XL,JB,KK,YJ,AI,DH,FZ,IF,PF,AZ,MG,RG,LS,MI,CP,BK,RO,YU,ZR,AK,RF,ZP,EP,TP,PD,BQ,AG,KI,BR,GR,HD,AO,DX,PG,SS,TS,AF,IN,GI,AT,PO,QA,EL,PC,MU,SF,IU,AR,KZ,SA,BB,OK,GA,TF,RB,CD,RS
2026-07-13,135.0,136.0,120.0,122.0,1327343300,0.0661,-0.0937,0.2506,-0.5381,0.1155,-0.7382,0.0,3.2,0.0,-0.3918,-0.6037,0.9693,0.0006,0.0,1.1,-1.1,0.0,10.0,0.0148,-4.3,-0.2086,-0.1308,0.0828,0.0,-0.677,-0.0287,-0.4164,4.4,0.0,0.0,0.0,4.0,-9.4,0.317,0.2458,0.0,-4.5,-0.655,0.0159,-0.215,-0.8412,-0.2407,0.5219,0.0,0.0,0.0646,2.1,-2.2,0.5884,-0.2853,-0.063,0.0,0.0,0.0,0.0113,0.0,-0.0995,0.0,0.0007,0.0,0.0003,0.0,0.1492,-0.1738,0.0,0.0,0.0,0.0945,-0.0645,-0.064,0.0,0.0,0.0,0.0
2026-07-14,146.0,150.0,129.0,136.0,2080449000,0.1425,0.1494,-0.1215,-2.1,0.0,0.6513,0.0,0.8325,0.0084,-0.2305,0.0865,-6.9,0.0,0.0044,-2.5,18.8,0.0,-10.6,0.0,-1.3,-0.1412,1.2,-0.2803,-0.1171,0.0682,-1.3,3.2,-0.1944,0.0,0.0,0.0,-3.3,2.2,-0.3997,-1.1,0.0,11.6,0.005,0.0,-0.4357,2.3,0.4034,-0.9163,0.0643,-0.2013,0.8346,-7.9,-4.2,-0.6598,0.0,0.0,0.0,2.8,-0.1076,1.5,0.0001,-0.1276,0.0,0.0,0.0,0.0,-3.3,0.0,0.1208,0.0,1.5,0.0745,-0.1001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,141.0,150.0,139.0,148.0,641040700,-2.2,0.2623,0.0,-5.8,0.3353,1.8,0.0,-3.7,-0.0379,-0.007,1.1,1.7,0.0,0.2652,2.4,1.1,0.0,0.9273,0.0,0.5393,0.172,0.1771,0.2128,0.0,1.7,0.7304,0.3249,-3.6,0.0,0.0,0.0,-1.5,-1.6,0.0,5.3,0.0,-8.8,0.0,0.1565,0.3507,-0.7825,4.2,-0.0493,-0.0361,1.9,0.4732,0.6534,0.0,-0.251,-0.0051,0.0,0.0,1.2,0.0,-0.1369,0.0,0.1882,0.0,-0.0023,-0.0079,-0.0004,-0.0161,-0.135,-0.042,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,141.0,145.0,138.0,142.0,411781500,-1.3,0.5908,0.5496,0.2373,0.1239,-0.1865,0.0,1.1,0.0,-0.0,0.12,2.7,0.0,0.0711,0.8829,0.2386,0.0,-1.3,0.0,0.0843,0.1115,-0.2272,-0.1488,0.0453,1.5,-0.572,0.6929,0.5871,0.0,0.0,0.0,0.5191,-0.0846,0.0,-1.8,0.0,-6.6,-0.0002,-0.1578,0.0533,-1.0,0.5515,-0.3387,0.0,-0.1781,0.0,2.7,0.0,0.1098,0.0,0.0423,0.0994,0.108,0.1065,-0.0168,-0.0,-0.0727,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,142.0,144.0,139.0,141.0,254459100,-0.148,-0.2482,-0.348,-1.4,-0.13,2.2,0.0007,-0.4307,0.028,0.011,0.4148,0.0538,0.0001,-0.1053,-0.2033,0.3768,0.0029,1.0,-0.0129,-0.1034,-0.1827,-0.0939,-0.2835,-0.0655,-0.5306,0.4308,-0.2154,0.0573,-0.0324,0.0141,0.0098,3.1,0.0354,0.0123,0.1448,0.0085,-4.7,0.005,-0.8654,0.2458,-0.0959,-0.5555,0.1194,-0.741,-0.0709,-0.0351,0.4938,-0.0072,2.7,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,155.0,160.0,142.0,143.0,1800574700,0.0572,-1.6,0.6879,-4.7,-0.5437,-0.5622,0.0,4.1,0.0728,0.0,-1.0,-1.2,0.0,0.0,-0.9637,0.9178,-0.0496,5.5,-0.0973,-2.0,0.1842,0.3602,0.3033,0.0622,0.2801,-1.6,0.7087,5.0,0.0077,-0.0373,-0.0411,1.5,-1.0,-0.0451,-3.8,0.0,4.5,0.0,-0.215,0.0433,-1.7,0.0,-0.0613,0.0,-0.2781,0.0206,1.6,-2.9,-3.8,0.0,-0.1155,-0.0644,0.0,-0.1193,0.0311,0.0,0.3946,0.0,0.0022,0.0,0.0,0.0,0.0,0.5739,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.185,0.0
2026-07-21,162.0,172.0,155.0,156.0,1529688100,0.1236,5.4,3.6,-8.6,-0.2539,-0.1627,-0.0087,2.9,0.0,-0.45,0.1241,0.2276,0.0,0.0163,2.0,1.4,0.0,-3.0,0.0,4.5,-0.2747,0.0312,0.3634,0.1922,-0.325,0.0,-0.3704,-4.1,0.0,0.1017,0.0,-4.5,4.6,-0.009,1.0,0.0,-0.8233,-0.8253,0.3844,-0.4947,-0.1419,0.2182,-0.9696,0.1173,0.4227,-0.0323,-0.2764,0.0572,-2.7,0.0,0.0,0.0,0.0,0.0,0.6937,0.0,0.0225,0.081,0.0,0.0,-0.0038,-0.0165,-0.0009,-0.3248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0702,0.0329
2026-07-22,164.0,169.0,157.0,163.0,1258068300,0.1196,-0.6593,-3.8,8.8,0.342,1.6,0.0,1.1,-0.0672,0.5201,0.0,-2.0,0.0081,-0.06,-1.1,0.2001,-0.4875,-6.1,0.0,-3.7,-0.1377,0.6549,-0.5101,-0.1768,-1.4,0.0,0.0432,-1.3,0.0,0.036,0.0418,0.6444,1.1,0.0302,-0.6452,0.0119,4.9,0.0463,-1.1,-0.2136,-0.457,0.4596,-0.3184,0.0,-0.4858,0.0,-0.1857,3.6,0.2084,0.0419,0.0,-0.1571,0.0,0.0,0.6958,0.0,0.4231,-0.0782,0.0,0.0,0.0,0.0,-0.2154,-0.4451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689,0.0
2026-07-23,164.0,175.0,163.0,166.0,1671178000,0.9633,-1.5,3.2,-12.9,0.6008,3.1,0.0,-0.2356,-0.033,-0.3855,0.4943,-9.0,0.0,-0.1573,0.0827,12.2,0.0938,-15.4,0.0,-0.1326,-0.3547,-1.0,0.4531,-0.1534,-2.2,-0.672,-1.1,6.0,0.0,-0.0427,-0.0845,2.5,11.3,-0.1078,0.3706,0.0,-3.7,0.0,1.0,1.6,0.2704,0.2665,-0.2177,-0.0483,-0.0416,0.2602,0.3144,4.1,-0.7521,0.0,0.0,1.4,0.255,0.0,0.6642,0.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1167,-0.2986,0.0334
2026-07-24,152.0,165.0,149.0,162.0,762425700,0.0,0.0692,-0.4211,-5.0,-0.0214,0.0,0.0,-3.1,0.0,0.7401,1.5,0.8734,0.0,0.0913,0.6081,-1.3,0.0955,8.6,0.0,0.0,0.7013,1.1,-0.0743,0.0,0.0,2.8,2.5,2.6,0.0,0.0,0.0,-0.3803,-0.5804,0.4399,0.3608,0.0,-12.2,0.1009,2.7,-0.2709,0.0635,-1.4,0.802,0.4931,0.2053,0.08,-1.3,0.1586,1.2,0.0,0.0,0.0,0.0,0.0,-1.6,0.0,0.0,0.0,0.0,-0.0002,-0.1514,0.0,0.0,0.099,-0.0,0.0,0.0,-1.6,0.0,0.0,-0.0008,0.0,0.0,0.0
