Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,XA,AT,AK,EP,YP,DH,CC,RS,HP,ES,YB,NI,BQ,HD,SQ,RO,KK,LS,CP,ZP,KI,OD,DX,BB,XL,AI,BK,AG,IN,FZ,MG,TP,RG,RF,IF,BR,GR,FS,SA,CD,PD,DR,KZ,SF,QA,YJ,MU,PG,DP,PO,SS,RX,AF,IT
2026-07-13,125.0,128.0,120.0,128.0,82538700,0.0329,0.0489,-0.0203,0.4468,-0.3705,-0.0041,0.9673,0.0653,0.5768,0.018,0.1883,0.0,0.1257,-0.0013,0.033,-2.9,-0.0074,0.0121,0.3871,0.2348,0.031,0.047,-0.1838,-0.3443,0.2001,-0.3173,0.0007,-0.3581,0.7433,0.043,0.0577,0.0012,0.0,-0.0001,0.0235,0.2083,-0.0005,0.0,0.0016,0.0,-0.1248,0.0,0.0,-0.0038,-0.0199,0.1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2026-07-14,127.0,127.0,124.0,126.0,62929100,0.181,0.0,1.6,-0.5406,-1.1,-0.0013,0.5962,0.0209,-0.0208,-0.1247,0.6511,0.0,-0.076,0.0,0.0233,-0.0107,0.0012,-0.0334,0.0146,0.5575,-0.0046,0.0001,-0.013,0.1412,0.4949,0.0264,-0.002,0.0,-0.0829,0.0463,-0.0117,-0.0013,0.0,0.0,-0.0095,-1.0,0.0,0.0,0.0076,0.0,-0.773,0.0001,0.0,0.0,-0.0928,0.0013,0.0,0.0001,0.0003,-0.0113,0.0,0.0,0.0,0.0,0.0,-0.4115,0.0013,0.0
2026-07-15,131.0,134.0,125.0,128.0,171821600,0.446,-0.5846,0.0093,-0.15,-0.297,0.0779,-0.8991,0.0758,0.2793,0.0666,-1.5,0.0,-0.1464,0.0,-0.1104,-0.191,0.1999,0.0,-0.0952,-0.4172,0.1251,-0.0001,0.6829,1.4,-0.1036,0.8687,0.025,0.0,0.289,-0.2614,0.032,-0.065,0.0,0.0007,0.0288,0.4902,-0.0001,0.0,-0.013,0.0,0.184,0.0949,-0.6478,0.004,-0.0793,-0.067,0.0,0.0194,0.0007,0.0026,-0.0004,0.0,0.169,-0.0,0.0078,0.0,0.0,0.0
2026-07-16,140.0,144.0,131.0,132.0,320664500,0.0332,-0.0329,0.0637,-1.2,-0.0361,-0.0624,0.1721,0.15,1.8,-0.0574,1.4,-0.0145,0.0622,0.0,0.1409,-0.9419,-0.2288,0.095,-0.2206,-0.5365,-0.1087,0.0182,-0.0846,-0.4992,0.366,0.3409,-0.0254,0.0,-0.3569,0.7929,0.003,0.4842,0.234,-0.0014,0.0954,-0.652,-0.0005,0.0,0.613,0.0235,-0.6286,0.07,-0.6309,0.001,0.224,-0.0662,-0.7346,0.0236,0.003,-0.0029,0.0014,-0.018,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,135.0,140.0,133.0,140.0,134989500,0.1453,0.0609,0.0488,2.3,0.1221,0.0122,-1.3,0.1745,-0.165,0.1526,-0.7089,-0.0061,-0.157,-0.0001,-0.0336,0.1255,0.0214,0.0018,-0.4181,0.3506,0.0666,-0.0585,-1.3,-0.625,0.0632,0.5001,0.0169,-0.63,1.2,-0.6054,-0.058,-0.0269,-0.0053,-0.0001,-0.0302,-0.114,0.0069,0.0138,-0.0,0.0344,-0.0683,0.1483,0.0786,0.1876,0.2824,0.1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,137.0,139.0,135.0,135.0,61097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,136.0,139.0,136.0,137.0,69083500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,136.0,139.0,134.0,137.0,70558100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,135.0,141.0,135.0,137.0,139866800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,129.0,135.0,127.0,134.0,97159000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
