Date,Close,High,Low,Open,Volume,XC,CC,XL,RO
2026-07-13,1360.0,1360.0,1360.0,1360.0,100,0.0,-0.0001,0.0,0.0001
2026-07-14,1360.0,1360.0,1360.0,1360.0,0,,,,
2026-07-15,1250.0,1250.0,1250.0,1250.0,200,-0.0001,0.0003,-0.0001,0.0
2026-07-16,1250.0,1250.0,1250.0,1250.0,0,,,,
2026-07-17,1250.0,1250.0,1250.0,1250.0,300,-0.0001,0.0003,-0.0001,0.0
2026-07-20,1250.0,1250.0,1250.0,1250.0,0,,,,
2026-07-21,1250.0,1250.0,1250.0,1250.0,0,,,,
2026-07-22,1250.0,1250.0,1250.0,1250.0,0,,,,
2026-07-23,1250.0,1250.0,1250.0,1250.0,0,,,,
2026-07-24,1250.0,1250.0,1250.0,1250.0,0,,,,
