Date,Close,High,Low,Open,Volume,BK,NI,OD,QA,SQ,YP,XC,KK,XL,AK,ZP,TF,PD,KI,BR,GR,CC,RO,XA,AI,EP,AG,MG,IH,CP,LG,AO,TP,YB,AT
2026-07-13,790.0,805.0,775.0,785.0,26069500,0.2681,-0.002,-0.0007,0.0,0.0042,0.1921,-0.0089,-0.063,0.2732,-1.6,-0.339,0.0,0.0,3.2,-0.0555,0.0,-2.1,0.0004,-0.0004,0.0,0.0,0.0,-0.0016,0.0,0.1755,0.0,0.0,0.0289,-0.0079,-0.0003
2026-07-14,785.0,805.0,775.0,790.0,23678700,0.1079,0.3228,-0.004,0.0,-0.0002,-0.1714,0.0043,0.0063,-0.3599,-1.2,0.0037,0.0,-0.0055,1.5,0.4119,0.0,-0.375,-0.0008,-0.0049,-0.0011,0.0,0.0,0.0371,-0.007,-0.1517,-0.032,0.0,-0.0293,0.0,0.0
2026-07-15,790.0,800.0,775.0,780.0,22459800,0.0142,-0.3394,-0.0036,0.0,-0.0054,-0.1238,-0.0072,-0.0145,-0.0271,-1.1,-0.002,0.0,-0.0028,0.6718,0.785,0.0,0.2658,-0.0002,-0.0034,-0.0013,-0.0008,0.0,-0.0479,-0.0107,-0.0577,-0.0005,-0.0138,0.0,0.0,0.0
2026-07-16,790.0,790.0,775.0,790.0,22216900,0.5646,-0.005,0.0,0.0,0.0101,0.1409,-0.0009,0.0139,-0.0126,-1.1,0.0,0.0,0.0005,0.6318,-1.2,0.0,0.9698,-0.0002,-0.0043,-0.0005,-0.0001,-0.001,-0.0103,-0.0096,-0.0173,0.0,0.0,0.0,0.0,0.0
2026-07-17,790.0,805.0,785.0,795.0,16391200,0.5645,-0.0008,-0.0186,500.0,-0.0104,-0.2647,-0.0063,-0.0167,-0.012,-2.7,0.2046,-0.0001,-0.0002,-0.0322,2.0,0.002,0.3624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,795.0,800.0,780.0,790.0,19839700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,785.0,795.0,780.0,795.0,23395400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,785.0,800.0,775.0,785.0,20544000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,780.0,785.0,750.0,785.0,28305700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,785.0,790.0,765.0,775.0,22469000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
