Date,Close,High,Low,Open,Volume,XC,SQ,RO,LG,KK,CP,OD,EP,XL,YP,CC,MG,YB,NI,BQ,PD,AZ,XA,ZP,AK,GI,GR,DH,YU,AT
2026-07-13,113.0,116.0,112.0,115.0,1448500,-0.0045,0.0,0.0,0.0011,0.0032,0.0,0.0092,0.0,0.0797,0.0013,-0.046,-0.0011,0.0,-0.0147,0.0005,-0.0012,-0.0285,0.0005,0.0,-0.0003,0.0,0.0,-0.0003,0.0012,0.0
2026-07-14,115.0,116.0,113.0,113.0,548100,0.0071,-0.0052,0.0,0.0,-0.001,0.0,0.0,0.0005,-0.0013,0.0015,-0.0001,0.0,0.0,0.0001,0.0,-0.0019,0.0,0.0,0.0,-0.0002,0.0,-0.0023,0.0,0.0,0.0028
2026-07-15,115.0,116.0,114.0,115.0,382000,0.0009,0.0,-0.0011,0.0004,0.0,-0.0014,-0.0,0.0,-0.0037,-0.001,0.0026,0.0002,0.0,0.0016,0.0,-0.0004,0.0012,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0
2026-07-16,115.0,118.0,113.0,115.0,1828300,-0.015,0.0336,-500.0,-0.0005,0.015,0.0,-0.0025,0.0002,-0.0337,-0.0123,0.0134,0.0027,0.0155,-0.0115,0.0137,-0.0088,-0.0012,-0.0008,-0.0023,-0.0003,-0.0051,0.0,0.0,0.0,0.0
2026-07-17,116.0,118.0,115.0,116.0,881800,-0.0066,-0.0,-0.0063,-0.0001,0.0061,0.0008,-0.0023,0.0012,-0.0145,-0.007,-0.024,0.0476,0.0014,0.0026,-0.0012,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,120.0,134.0,116.0,116.0,15986100,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,121.0,124.0,119.0,120.0,1804000,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,123.0,123.0,120.0,121.0,907500,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,122.0,128.0,122.0,125.0,1655200,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,120.0,122.0,119.0,122.0,357500,,,,,,,,,,,,,,,,,,,,,,,,,
