Date,Close,High,Low,Open,Volume,HD,XL,PD,EP,XC,CP,SQ,DH,AZ,NI,LG,TP,RO,KI,DX,ES,QA,GR,AT,YP,ZP,CC,AK,OD,KK,DR,BK,KZ,YB,IF,YU,HP,RX,BQ,BR
2026-07-13,1400.0,1415.0,1355.0,1370.0,1805900,-0.0007,0.2216,-0.1704,0.0,-0.0034,0.0496,-0.0503,0.0013,-0.0049,0.4598,0.1105,0.0017,-0.0,-0.0006,0.0,0.0,0.0,-0.1293,-0.0072,-0.0933,-0.3146,-0.0928,-0.6052,0.2137,0.0845,-0.001,-0.0355,0.0,0.0,0.051,-0.0004,0.0,0.3161,-0.0,-0.0001
2026-07-14,1405.0,1420.0,1400.0,1410.0,1534000,-0.0,0.1643,0.008,0.001,-0.0032,-0.0491,-0.0292,0.0169,-0.0014,0.0353,-0.0001,-0.0003,0.0007,0.0,0.0,0.0,0.0,0.0013,0.0081,0.1113,-0.2349,0.1367,-0.7392,0.0017,0.0142,0.0638,-0.1724,0.0,0.0001,-0.0499,-0.2987,0.0,1.0,0.0,0.0
2026-07-15,1415.0,1425.0,1405.0,1415.0,1833500,-0.0,-0.296,-0.4384,0.0142,0.0045,-0.0013,-0.0041,0.0017,0.0071,0.0728,0.0446,0.1009,0.0,0.0,0.0,0.0,0.0,0.0539,-0.0082,0.0286,0.9139,0.2008,-0.8488,0.0018,0.0707,500.0,-0.2284,0.0,0.0,-0.0395,0.0016,-0.0111,0.3588,0.0,0.0
2026-07-16,1415.0,1420.0,1400.0,1420.0,584600,0.0041,0.3799,-0.009,0.0,0.0683,0.0,0.0008,0.0001,0.0071,0.0255,-0.0001,0.0586,-0.0009,0.0,-0.0014,0.0,0.0,0.0,-0.0169,0.0169,-0.0649,0.0197,-0.2369,-0.0245,0.0003,-0.0004,-0.0137,-0.2123,0.001,-0.0014,0.0,0.0,0.0,0.0,0.0
2026-07-17,1435.0,1445.0,1400.0,1420.0,509800,-0.0041,-0.01,-0.0494,0.0003,0.0263,0.0029,-0.0174,-0.002,0.0013,0.0173,-0.0013,-0.0174,0.0003,-0.0013,0.0003,-0.0072,-0.0006,0.0011,-0.0186,0.0041,-0.0453,0.2398,-0.1822,-0.0032,0.0376,0.0285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1450.0,1460.0,1430.0,1440.0,1220600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1430.0,1455.0,1430.0,1450.0,979100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1420.0,1450.0,1410.0,1430.0,4884500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1430.0,1445.0,1425.0,1425.0,1348700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1370.0,1430.0,1370.0,1425.0,2245100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
