Date,Close,High,Low,Open,Volume,YP,SQ,OD,NI,XC,BQ,KK,PD,XL,YU,CC,YB,LS,ZP,AZ,TP,LG,BK,PC,EP,MG,CP,KI,YJ,DR,FS,ID,DU,AT,HP
2026-07-13,1455.0,1500.0,1445.0,1450.0,15000,0.0004,0.0016,0.0,-0.0001,0.0027,-0.0001,0.0003,-0.0028,0.0004,0.0,-0.0009,0.0,0.0,-0.0015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1455.0,1455.0,1445.0,1455.0,12400,-0.0032,0.0072,0.0,-0.0022,-0.0036,0.0,0.0,-0.0035,0.0023,0.0,0.0015,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1535.0,1580.0,1465.0,1470.0,70500,-0.0063,0.0029,0.0005,-0.0025,0.0675,0.0006,-0.0213,-0.0052,-0.0118,0.0,-0.0163,-0.0002,-0.0004,-0.0041,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1500.0,1570.0,1500.0,1565.0,16100,0.0024,0.0034,-0.0035,0.0002,0.0033,0.0,-0.0016,0.0,-0.004,0.0,0.0013,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1510.0,1575.0,1510.0,1510.0,39300,0.0134,0.005,0.0003,0.0091,0.0011,-0.0002,-0.003,-0.0005,-0.0374,0.0016,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1515.0,1560.0,1510.0,1560.0,43500,0.0114,-0.0009,-0.0009,-0.0076,0.0045,0.0,0.0,0.0015,-0.0195,0.0,0.012,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,1500.0,1540.0,1495.0,1515.0,131600,0.003,0.0002,-0.0002,-0.0015,0.0838,0.0,0.0,0.0023,0.0613,0.0,0.0081,-0.0736,0.0,0.0015,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1088,-0.0012,0.0,0.0,0.0,-0.0006,-0.0045
2026-07-22,1500.0,1540.0,1500.0,1500.0,23200,0.0003,0.0001,0.0003,0.0,-0.0012,-0.0005,0.0,0.0073,-0.0007,0.0,-0.0043,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
2026-07-23,1495.0,1530.0,1460.0,1530.0,185600,0.0366,0.0278,0.0,0.0013,0.0219,0.001,0.0,0.0066,0.0142,0.0015,0.0405,0.0,0.0,0.0,0.0216,0.0,0.0,0.0,0.0001,0.0,0.0045,0.0045,0.0035,-0.188,0.0007,0.0015,0.0001,0.0,0.0,0.0
2026-07-24,1450.0,1495.0,1425.0,1495.0,137700,0.0929,-0.0032,0.002,-0.0023,0.0061,0.0009,0.0,0.0029,0.001,0.0,-0.0179,0.0,0.0,0.0,0.0,0.0,-0.0802,0.0015,-0.0001,0.0022,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
