Date,Close,High,Low,Open,Volume,DH,AK,EP,MG,QA,XA,OD,GR,CP,HD,CC,YP,YO,AT,PD,IF,XL,CD,AO,LG,ZP,AI,FS,HP,DR,RO,SQ,NI,AZ,BQ,XC,KK,KI,BK,YU,IN,RG,TP,YB,YJ,RS,FZ,PC,SS,BF,MU,DX,DU,AG,JB,ES,LS,PG,ZR,FO,TF
2026-07-13,134.0,143.0,132.0,140.0,27391700,0.1573,0.0021,0.0862,-0.0711,-0.0001,0.0088,-0.0322,0.0398,-0.0075,-0.0004,-0.2575,0.0188,0.0,-0.0496,-0.0588,-0.0,-0.0681,0.0,0.0054,0.0002,0.0007,0.0113,0.0003,-0.0108,0.0198,0.0063,0.0337,0.056,-0.0268,0.0501,0.0949,0.0834,0.0014,-0.1148,0.0062,0.0,0.0,0.0,0.0004,0.0039,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0132,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,144.0,147.0,137.0,139.0,52834300,-0.1162,0.0315,-0.0872,-0.0056,-0.0001,-0.0426,-0.1635,-0.0013,0.3923,0.0,0.1847,0.2145,0.0,-0.0248,-0.2006,0.003,-0.0173,-0.0001,-0.005,-0.0016,0.0715,0.0204,0.071,0.0219,-0.0197,0.0,-0.0014,-0.1013,-0.0269,-0.0234,-0.0481,-0.1277,-0.0009,-0.0201,0.0064,-0.437,0.0,0.0,0.0339,0.0744,0.0,0.0028,0.0002,0.3428,-0.002,0.0142,0.003,-0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,139.0,143.0,138.0,143.0,16122800,-0.0049,-0.0343,-0.0045,0.0025,0.0072,0.0003,0.0852,0.0075,-0.3665,-0.0,-0.0068,-0.0688,0.0,-0.0077,0.0598,0.0,0.2127,-0.0001,-0.0,0.0005,-0.0971,0.0,0.0,0.0337,0.0106,0.0066,0.005,-0.0006,0.0566,0.0036,0.0837,0.0244,0.0002,-0.0174,0.0001,0.0,0.0035,0.0,-0.0118,0.0002,0.0164,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,138.0,140.0,135.0,140.0,7817300,0.0,0.0248,-0.0234,-0.0,0.0032,0.0,-0.0177,-0.0117,-0.0072,0.0008,0.1755,-0.0481,-0.0001,0.0003,0.021,0.0,-0.014,0.0,0.0041,0.0,0.0,0.0,-0.0137,-0.0121,0.0021,-0.0102,0.0194,-0.0234,0.0178,0.0164,-0.1233,0.0042,-0.0069,-0.0001,0.003,0.0136,0.0034,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,137.0,139.0,135.0,139.0,4337600,-0.0001,-0.0246,-0.0093,-0.0028,-0.0001,0.0,-0.0037,0.0113,-0.0031,-0.0009,-0.0294,-0.1365,-0.0001,-0.0042,-0.012,0.0,0.03,0.0021,0.0001,0.0,0.048,-0.0003,-0.0138,-0.0144,-0.0008,-0.0001,0.0028,0.1947,-0.0107,0.0012,-0.0073,-0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,140.0,146.0,139.0,141.0,14818100,0.0003,0.017,0.1203,-0.0016,-0.0052,0.0007,0.0035,0.0096,-0.0113,0.0013,-0.0483,0.1414,0.0,0.0238,0.0114,-0.0,-0.1384,-0.0021,0.0001,0.0334,-0.0224,-0.0017,-0.0143,0.0202,0.0065,-0.0029,-0.0129,-0.0148,-0.0225,0.0015,0.0302,-0.0294,0.0,-0.0017,0.0035,0.0,-0.0071,-0.0592,-0.0169,0.0,-0.0168,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0
2026-07-21,142.0,144.0,139.0,141.0,13202400,0.0052,0.081,-0.109,0.0147,0.0,0.0156,0.0664,-0.0067,0.0012,-0.0009,0.0097,-0.0331,0.0,-0.0245,0.0712,0.0,-0.3682,0.0,-0.0037,0.0024,0.0,-0.0287,-0.0278,-0.0246,0.0165,0.0,-0.0194,0.3244,-0.0409,0.0067,0.0588,-0.0247,0.0003,0.0129,0.0046,0.0281,0.0,0.0,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,-0.0032,0.0,0.0028,0.0014,-0.001
2026-07-22,147.0,148.0,142.0,144.0,22714700,-0.0013,0.0581,0.2123,0.0769,-0.0,-0.0143,-0.1258,-0.0271,0.2896,0.0,-0.0866,-0.3017,0.0,-0.0005,-0.0398,0.0,0.0582,0.0,0.0011,-0.0034,0.0862,0.0,-0.0004,0.0507,-0.0466,-0.0011,-0.0383,0.023,0.0198,-0.0383,-0.1802,-0.0171,0.0003,-0.0165,0.0027,0.0,0.0,0.0,-0.0098,-0.0044,0.0073,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,-0.0001,0.0,0.073,0.0,0.0,-0.0058,-0.0015,0.0
2026-07-23,153.0,159.0,150.0,151.0,41613800,-0.0203,-0.168,-0.2212,-0.0413,-0.0044,0.0051,0.0113,0.0089,-0.3409,0.0005,1.0,-0.0803,0.0,0.0254,0.0431,0.0,-0.3865,-0.0002,-0.001,0.0001,0.1086,-0.0001,0.0,-0.0642,0.0127,0.0,0.0642,-0.2507,0.0218,0.0764,0.0916,0.0036,-0.0102,-0.0002,-0.0078,0.0,0.0,-0.0003,0.0587,-0.0074,-0.0078,-0.0078,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0006,-0.0775,0.0,0.1603,0.0046,0.0,0.0
2026-07-24,148.0,165.0,148.0,156.0,37557500,-0.0009,-0.0028,-0.0529,-0.0476,0.0,-0.0038,0.0685,0.0134,-0.0641,-0.0013,-0.695,0.5956,0.0,-0.0,-0.0072,0.1448,-0.0401,0.0,0.0007,-0.0079,-0.151,0.0005,0.0,0.0018,0.0257,0.0003,-0.0456,-0.0256,-0.0268,0.0622,0.0064,0.0275,-0.0004,0.0,0.0627,0.0,0.0,0.0,0.0471,-0.0011,0.0182,0.0075,0.0001,0.0149,0.0,0.0,0.0,0.0015,-0.0001,0.0004,0.0745,-0.0003,0.0,0.0,0.0,0.0
