Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,QA,DR,SQ,YP,SS,HP,XC,LG,FS,XL,KK,YJ,AI,DH,AZ,IF,MG,LS,CP,BK,RO,YU,AK,AT,ZP,TF,EP,TP,PD,BQ,KI,GR,CC,AO,MU,CD,BR,IU,RG,PC
2026-07-13,665.0,665.0,630.0,640.0,3693500,-0.0039,-0.0003,0.0824,-0.0001,-0.013,-0.0125,-0.0308,0.0168,0.0,0.0,-0.0579,0.0111,0.0,-0.529,-0.0049,0.0,0.0,-0.0105,0.0006,-0.0015,0.0,0.0,0.0066,0.0171,-0.0003,-0.0059,0.63,0.0,0.0463,0.0,0.058,0.0555,0.0392,-0.0012,-0.5344,0.016,0.2302,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0037
2026-07-14,670.0,700.0,655.0,670.0,9472100,-0.0318,-0.0024,0.2981,0.0001,-0.0064,-0.0081,-0.0017,0.1518,0.0,0.0018,0.2261,0.0733,0.0,0.8227,0.0457,0.101,-0.0024,0.014,0.0097,0.0005,-0.1037,-0.0001,0.1334,-0.0164,0.0011,0.0,0.3852,0.0147,0.2499,0.0,-0.1023,-0.0002,-1.6,0.0139,-0.7007,-0.2572,0.3124,0.0,0.0,0.0,0.0,-0.0138,0.0,0.0
2026-07-15,665.0,685.0,660.0,680.0,3054000,0.1037,0.0007,-0.054,0.0001,-0.0002,0.0042,0.0535,0.1616,0.0,0.0001,0.0413,0.0334,0.0,0.145,0.0442,-0.0067,-0.0,0.0334,-0.0007,0.0001,0.135,0.0,-0.0159,0.0791,0.0,0.0041,-0.0468,0.0,0.0001,0.0,-0.0005,-0.0054,0.0557,0.0003,-0.4364,0.0537,-0.3826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,680.0,685.0,655.0,670.0,4320200,-0.1209,0.0,0.0129,-0.0003,0.0032,-0.0277,0.2793,-0.1724,0.0,-0.0008,-0.1071,-0.0012,0.0,-0.269,0.0419,0.0,-0.0001,-0.0086,0.0068,0.0,0.3356,0.0,0.093,0.0112,-0.0003,0.0,0.2971,-0.0034,0.3283,0.0,-0.0595,0.0003,-0.0582,-0.005,-0.7267,-0.1658,0.3166,0.0,-0.0003,-0.0009,0.002,0.0,0.0,0.0
2026-07-17,710.0,735.0,660.0,680.0,15351100,-0.1176,0.1265,-0.0697,0.0118,-0.0169,0.0531,-0.0297,0.2785,-0.0014,0.0248,-0.0843,0.0695,0.0001,0.4912,-0.2002,0.0748,-0.0045,-0.0205,0.1457,-0.006,0.2002,-0.0146,0.0747,0.1756,-0.0189,-0.0008,0.1757,0.0064,-0.4785,0.0011,0.0087,-0.362,-0.0501,0.0135,-0.5333,-0.0834,-0.119,0.2796,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,720.0,740.0,710.0,720.0,5831800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,765.0,770.0,720.0,720.0,11487900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,775.0,805.0,745.0,765.0,13690900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,785.0,905.0,775.0,780.0,41213000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,715.0,770.0,715.0,745.0,11367300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
