Date,Close,High,Low,Open,Volume,XL,KI,PD,GR,EP,XC,BQ,YB,SQ,MG,LG,YP,BK,CC,AO,OD,KK,TP,AI,HD,CP,NI,AG,SF,AZ,XA,AT,IF
2026-07-13,625.0,630.0,615.0,620.0,347100,0.0416,0.0,0.0005,-0.0019,0.0,0.0101,0.0374,0.0024,0.0016,0.0018,0.0,-0.0195,-0.0219,-0.1021,0.0,-0.0001,0.0197,0.0,0.0,0.0001,0.0063,0.0242,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,625.0,630.0,610.0,625.0,1280500,-0.4208,0.0,0.0636,-0.003,-0.0004,0.2327,0.0633,0.0355,0.0364,0.0018,0.0032,0.0066,-0.0711,-0.0003,0.0,0.0,0.0086,0.0,0.0,0.0007,0.0074,0.0,0.0,0.0247,-0.0001,-0.0372,-0.0013,0.0496
2026-07-15,615.0,625.0,605.0,620.0,424500,0.0589,0.0,-0.0377,-0.0126,0.0,0.0581,0.0005,0.0245,-0.056,0.0,0.0018,0.0332,-0.0338,0.001,0.0,0.0,-0.0408,0.0,0.0031,-0.0008,0.0216,-0.0209,-500.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,615.0,615.0,605.0,605.0,237200,0.0138,0.0,-0.0031,0.0001,0.0,0.0593,0.0127,0.0001,-0.0305,0.0,0.0,0.0345,-0.0207,-0.0041,0.0,0.0,-0.0316,-0.0305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,605.0,615.0,600.0,615.0,834100,0.0035,0.0005,-0.0331,0.0531,0.0122,0.1102,0.0004,-0.006,0.0036,0.0018,0.0006,-0.2578,-0.0722,0.0002,0.122,0.0006,0.0605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,595.0,615.0,590.0,615.0,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,605.0,610.0,595.0,610.0,588200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,600.0,610.0,595.0,610.0,314800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,595.0,610.0,590.0,605.0,1051000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,590.0,600.0,585.0,590.0,362200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
