Date,Close,High,Low,Open,Volume,XC,LG,AZ,XA,AT,AK,EP,YP,DH,CC,YB,NI,BQ,HD,QA,SQ,YJ,RO,KK,LS,CP,ZP,KI,OD,XL,MG,TP,IF,GR,FS,HP,CD,PD,DR
2026-07-13,190.0,194.0,184.0,191.0,583500,0.003,0.0,0.0,0.0,0.0,0.0073,-0.0006,0.011,0.0002,0.0219,0.0,-0.0209,0.0,0.0001,0.0,0.0239,0.0088,0.0,-0.0001,0.0,-0.0,0.0,0.0,0.0002,-0.001,0.0,0.0,0.0,0.0006,-0.0557,0.0,0.0,0.0013,0.0
2026-07-14,191.0,191.0,189.0,189.0,76300,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.0002,0.0012,0.0,0.0012,0.0,0.0,0.0,0.0005,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0,-0.0001,0.0023,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,188.0,192.0,187.0,191.0,983500,0.0092,0.0,0.0,0.0,0.0,0.0041,0.0,0.0227,-0.0107,0.0945,0.0,-0.0021,0.0005,0.0003,0.0,0.022,0.0,0.0002,0.0005,0.0002,0.0,0.0,0.0002,0.0002,0.001,0.0,0.0,0.0,-0.0004,-0.1505,0.0,0.0,0.0083,0.0
2026-07-16,189.0,190.0,186.0,188.0,402500,-0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0066,0.0,0.0016,0.0,0.0026,0.0014,-0.0,0.0,-0.0366,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0005,-0.0093,0.0,0.0004,0.0002,0.0042,0.0,0.0,0.0,0.0279,0.0
2026-07-17,198.0,208.0,189.0,189.0,4499800,0.0363,-0.008,0.0081,0.0,-0.0,0.0061,-0.004,-0.0204,0.0047,-0.0462,-0.0,0.0022,-0.0004,0.0,0.0188,0.0003,-0.0232,-0.0001,0.0045,0.0983,-0.0001,-0.0004,-0.0016,0.0013,0.0132,-0.0014,-0.0028,-0.0001,-0.0004,-0.0498,-0.0001,-0.008,0.0038,-0.0305
2026-07-20,199.0,202.0,196.0,199.0,2716800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,200.0,202.0,194.0,200.0,1802900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,200.0,200.0,196.0,200.0,1485100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,199.0,202.0,196.0,200.0,428800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,200.0,202.0,196.0,202.0,2323700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
