Date,Close,High,Low,Open,Volume,OD,XC,GR,PD,CC,XL,AK,YP,EP,XA,NI,KK,HD,DH,CP,RG,KI,ZP,PC,SQ,YJ,AT,BQ,AZ,YB,TP,IF,LG,DR,QA,RO
2026-07-13,242.0,242.0,234.0,240.0,294400,0.0002,-0.0,-0.0035,-0.0056,0.0035,0.0003,-0.0028,-0.0193,-0.0102,0.0,-0.0001,0.0,-0.0002,0.0001,0.0315,0.0,0.0,0.0,0.0,-0.0109,0.0,0.0,0.0,0.0,0.0,0.0066,0.0103,-0.0,0.0001,-0.0001,0.0
2026-07-14,242.0,242.0,226.0,242.0,501100,0.0003,-0.001,-0.0,-0.0084,0.0005,-0.008,-0.0047,-0.0031,0.0011,0.0,0.0,0.0062,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,-0.0,0.0,-0.0189,-0.054,0.0886,0.0,0.0,0.0
2026-07-15,244.0,246.0,238.0,242.0,620700,0.0011,0.0005,0.0,-0.0071,0.002,-0.0417,-0.0061,-0.0693,-0.0049,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,-0.0121,-0.0005,-0.0,-0.0002,0.1375,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,248.0,250.0,244.0,250.0,291800,-0.0003,0.0015,0.0,0.0021,-0.0028,0.019,-0.0074,-0.0391,0.0028,0.0,0.0035,0.0,0.0,0.0043,0.0043,0.0123,-0.0002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,250.0,250.0,246.0,248.0,341600,0.0,-0.0008,0.0248,0.0001,0.0315,-0.0015,-0.0059,-0.0543,0.0003,-0.0001,-0.004,0.0089,-0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,250.0,254.0,248.0,252.0,686500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,246.0,250.0,244.0,250.0,217000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,246.0,252.0,244.0,252.0,407400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,252.0,260.0,248.0,250.0,538800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,258.0,258.0,248.0,252.0,647700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
