Date,Close,High,Low,Open,Volume,NI,RO,OD,QA,SQ,YP,XC,LG,KK,AK,XL,AT,ZP,TP,EP,PD,IF,DP,PC,GR,CC,CP,YB,YU,DR,AI,DH,YJ,XA,AG,MG
2026-07-13,11350.0,11575.0,11125.0,11375.0,20100,0.0046,0.0,0.0463,0.0,0.0002,-0.0694,-0.0011,-0.0001,0.0,-0.0283,-0.0477,0.0,0.0,0.0239,-0.0,-0.0011,0.0318,0.0,0.0,0.0,0.0433,0.0,0.0,0.0,-0.0,0.0,-0.0023,0.0,0.0,0.0,0.0
2026-07-14,11425.0,11500.0,11325.0,11350.0,10400,0.0034,0.0,-0.0046,0.0,0.0011,0.0,-0.0102,0.0,0.0011,-0.0,-0.0045,0.0,0.0,0.0,0.0,-0.0045,0.0,0.0,0.0,0.0,-0.0158,0.0,-0.0034,0.0329,-0.0012,0.0011,0.0046,0.0,0.0,0.0,0.0
2026-07-15,11500.0,11800.0,11275.0,11425.0,93100,0.0012,0.0,0.0001,0.0,-0.0058,-0.0046,-0.1054,-0.0,0.0034,0.0085,-0.4811,0.0137,-0.0012,0.0,-0.0,0.0184,0.0348,-0.2057,0.0,0.0,0.0851,0.0008,-0.0011,0.6413,-0.0,-0.0011,-0.0012,0.0,0.0,0.0,0.0
2026-07-16,11650.0,12000.0,11500.0,11500.0,18600,0.0223,-0.0082,0.0,0.0,0.0,0.0069,0.0036,-0.0001,0.0057,-0.0326,0.0702,0.0,-0.0036,0.0,0.0,-0.0035,0.0,0.0,0.0,0.0,-0.0642,0.0,0.0012,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,12000.0,12350.0,11600.0,11675.0,85100,-0.0048,0.0024,-0.007,0.0012,0.0371,0.1253,-0.044,-0.0074,0.1756,-0.0758,-0.2834,-0.0146,-0.2836,-0.0024,-0.0012,-0.0193,-0.018,0.4047,-0.0002,0.0738,-0.0594,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,12025.0,12225.0,11750.0,12000.0,115500,0.0273,0.0,-0.0047,0.0,-0.0168,0.0085,-0.0084,-0.0001,0.0012,-0.0649,-0.1725,0.0,-0.7664,0.0083,-0.0012,0.0035,0.0,0.833,0.0024,0.0265,-0.0229,0.0006,0.0,0.1195,0.0036,0.0,0.0106,0.0118,0.0012,0.0,0.0
2026-07-21,12025.0,12450.0,12025.0,12150.0,37600,-0.0298,0.012,0.0318,-0.0012,-0.0062,0.022,0.0597,0.0036,-0.0489,-0.0379,0.0425,0.0,-0.1366,0.0,-0.0024,0.0001,0.0,0.0,0.0024,0.0049,-0.0869,-0.0012,0.0,0.1663,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0061
2026-07-22,12000.0,12250.0,12000.0,12225.0,35500,0.0108,0.0012,-0.0445,0.0,-0.0182,-0.0145,-0.0001,-0.0269,0.0,0.0,-0.023,0.0,-0.128,0.006,0.0,0.0281,-0.0363,0.0336,-0.0024,0.0,0.0036,0.0012,0.0,0.1995,0.0,0.0,0.0,0.0,0.0,0.0098,0.0
2026-07-23,12175.0,12525.0,12000.0,12000.0,91400,-0.0721,-0.0012,0.4785,0.0,0.0049,0.1347,0.031,0.0011,0.0,-0.1121,-0.0742,0.0,-0.1988,0.0,-0.005,-0.0251,0.0,0.0012,-0.0025,0.0,-0.1714,0.0,0.0,0.0,-0.0013,0.0,0.011,0.0,0.0012,0.0,0.0
2026-07-24,11975.0,12350.0,11825.0,12175.0,28300,0.0665,0.0,0.0188,0.0,0.0037,0.0205,0.0107,0.0081,0.0,0.0574,0.016,0.0,-0.2327,0.0,0.0,0.0072,0.0,0.0,0.0,0.0119,-0.0097,0.0,0.0,-0.0,0.0,0.0,0.0012,0.0204,0.0,0.0,0.0
