Date,Close,High,Low,Open,Volume,ZP,YJ,DH,CC,PD,BQ,OD,AZ,IF,QA,SQ,YP,GR,XC,LG,KK,XL,CP,DR,NI,II,AT,TP,EP,KI,YB,YU,RO
2026-07-13,730.0,745.0,730.0,735.0,119700,0.0,0.0004,0.0,0.0087,-0.0318,0.0,0.0001,-0.0365,0.0,0.0,0.0001,0.0016,0.0,0.0508,0.0,0.0128,-0.007,0.0,-0.0001,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,760.0,790.0,730.0,735.0,889700,-0.0084,0.0,-0.0313,0.0133,-0.0134,0.0,0.0078,-0.0679,-0.0039,0.0052,0.0695,0.0011,0.0,0.0155,-0.0027,-0.0002,0.0185,-0.0006,0.0,-0.0023,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,745.0,775.0,740.0,760.0,30900,0.0,0.0008,0.0,-0.0017,-0.0136,0.0,0.0004,-0.0001,0.0,0.0,0.0013,0.0152,0.0,0.003,-0.0014,-0.0001,-0.0035,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,745.0,755.0,740.0,745.0,5300,0.0,0.0,0.0,-0.0019,0.0014,0.0,0.0,-0.0004,0.0,0.0,0.0004,0.0003,0.0,500.0,0.0,0.0,-0.0002,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,755.0,770.0,730.0,755.0,126900,-0.0002,0.0011,0.0001,-0.01,0.0106,0.0128,-0.0019,-0.0075,-0.0001,-0.0051,0.022,0.0033,-0.0017,-0.009,-0.0138,0.0038,-0.0065,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,755.0,765.0,740.0,755.0,1377400,0.0,0.0008,0.0188,0.0434,-0.021,-0.0036,0.0,0.0,-0.1497,0.0,0.0,0.1677,0.0029,0.6967,0.0001,0.0,-0.7,-0.0001,0.0,-0.0039,0.0,0.0,0.0,0.0529,0.0,-0.1049,0.0,0.0
2026-07-21,750.0,755.0,735.0,750.0,296500,0.0,0.0037,0.0333,-0.1178,0.0007,0.0,0.0,0.0,0.0,0.0,0.0123,0.0639,0.0086,0.0216,0.001,-0.0057,0.0091,0.0,0.0004,0.0007,0.0,0.0,0.0067,0.0,0.0,-0.0313,-0.0048,-0.0024
2026-07-22,745.0,750.0,725.0,750.0,217400,0.0,0.0,0.0,-0.0176,-0.0267,0.0,-0.0,0.0,0.0001,0.0,0.0001,0.0058,-0.0055,0.0385,0.0,0.0,0.049,0.0,0.0,0.0009,0.0,0.0,0.0,-0.0429,0.0,-0.0017,0.0,0.0
2026-07-23,750.0,755.0,730.0,745.0,236900,0.0,-0.0015,0.0,0.0001,-0.0084,0.0,0.0015,0.0,0.0,0.0,-0.0053,-0.0373,0.0015,0.1076,0.0008,0.0038,-0.0102,0.0,0.0,0.0,0.0,-0.0167,-0.0067,-0.0018,-0.0147,-0.0127,0.0,0.0
2026-07-24,740.0,750.0,730.0,735.0,398600,0.0,0.0071,-0.0149,0.0004,-0.0037,0.0,0.0007,0.0,0.0,0.0,-0.0857,-0.0775,0.0,0.176,0.0,0.0065,-0.0094,0.0073,0.0,0.0817,0.0,-0.0885,0.0,0.0,0.0,0.0,0.0,0.0
