Date,Close,High,Low,Open,Volume,DR,XA,SQ,XC,AT,KK,PD,XL,CC,NI,YP,OD,BQ,CP,LG,DH,EP,DX,ZP,MG,HP,IF,RO,KI,GR,FS,YU,QA,AZ,YB
2026-07-13,170.0,170.0,158.0,162.0,110300,-0.004,-0.0013,-0.0008,0.0007,0.0,0.0001,-0.0008,0.0062,0.0003,-700.0,-0.0001,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,170.0,170.0,166.0,170.0,30600,0.0,0.0013,-0.0031,-0.0,0.0,0.0,0.0024,-0.0005,0.0002,0.0,-0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,166.0,170.0,166.0,170.0,105500,-300.0,0.0042,-0.013,-0.0006,0.0,0.0119,0.0,0.0007,-200.0,-0.0,600.0,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,168.0,169.0,166.0,168.0,14700,0.0,-0.0013,0.0,0.0004,0.0,0.0,0.0007,0.0002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,165.0,169.0,165.0,169.0,41500,-0.0,-0.0017,0.0017,-0.0001,0.0,-0.0017,0.0007,-0.0003,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,165.0,169.0,163.0,165.0,21700,0.0,0.0004,0.0,0.0003,0.0,0.0,0.0008,0.0018,-0.0013,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0,0.0,0.0,0.0
2026-07-21,165.0,189.0,161.0,164.0,504600,0.0003,-0.0103,0.0024,-0.0001,0.0,0.0002,-0.005,0.0113,-0.0049,0.0,0.0056,0.0002,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,155.0,167.0,154.0,167.0,418800,0.0,0.0156,0.0075,0.0004,0.0,0.0,0.014,0.0067,0.0118,0.0,0.0004,0.0014,0.0,-0.0577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,158.0,162.0,156.0,158.0,163200,0.0,0.0048,0.0016,-0.0003,0.0,-0.0109,-0.0031,0.0092,-0.0047,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2026-07-24,158.0,212.0,155.0,170.0,17580600,-0.0369,0.0536,-0.0045,0.0256,-0.0047,0.0036,0.1295,0.3456,0.0484,-0.0125,0.0705,0.0192,0.0362,-0.0002,-0.6848,0.0,0.0057,0.0058,0.0015,0.0014,-0.0,0.0002,0.0,-0.0,0.0002,-0.0085,-0.0,0.0051,0.0001,0.0
