Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,XC,MG,CP,AZ,NI,BQ,TP,RG,XA,PG,AT,YB,YJ,IH,ZP,YP,CC,BR,IF,AK,OD,KK,DR,BB,SQ,DH,LG,QA,BK
2026-07-13,1010.0,1010.0,990.0,1010.0,3321600,-0.0,0.2003,0.0093,-0.3498,0.0,0.0002,-0.0856,-0.187,-0.0012,0.0189,0.3616,0.0657,-0.178,0.2271,0.0791,0.0449,0.0,-0.0045,0.0,-0.0578,0.2161,0.0522,-0.0943,0.0,-0.0114,0.0637,0.0001,-0.3865,0.0,0.0054,0.0115,0.0,0.0,0.0
2026-07-14,1015.0,1020.0,1000.0,1010.0,2939000,0.0018,0.0751,0.0044,0.2477,0.0,0.0631,-0.0327,0.0,0.0325,-0.0093,-0.4358,0.0101,0.1935,-0.0437,0.0466,-0.0418,0.0,-0.0286,0.0003,-0.0639,-0.2868,-0.0406,0.2059,0.0,-0.0264,0.0244,0.0117,-0.0343,0.0,-0.0078,-0.0102,0.0,0.0001,0.1447
2026-07-15,1010.0,1020.0,995.0,1015.0,2736300,-0.0018,-0.1678,0.0006,-0.2749,-0.002,-0.0003,0.1095,0.0209,0.1344,0.1832,0.3364,0.028,-0.1917,0.0733,-0.1259,0.1514,0.0,0.1332,0.0,0.0149,-0.0664,0.0128,-0.1373,0.0,0.1811,-0.0919,-0.6034,0.2605,0.0,0.003,0.02,0.0002,0.0001,0.0
2026-07-16,1015.0,1015.0,1000.0,1010.0,3217300,0.0012,0.1079,0.001,0.1767,0.0,0.0007,-0.0886,0.0202,-0.0859,-0.0048,-0.2323,0.0159,0.1509,-0.1526,0.1169,-0.0879,0.0,-0.0919,0.0,-0.0148,0.2149,-0.0333,0.1514,0.0,-0.1274,0.0431,0.0021,-0.2636,0.2046,-0.004,-0.0203,0.0,0.0,0.0
2026-07-17,1020.0,1020.0,1005.0,1015.0,2402100,-0.0012,0.0226,-0.0168,0.1589,0.0004,0.0097,-0.0216,-0.0102,-0.0462,0.0103,0.1,-0.0334,-0.153,0.1114,-0.117,0.0416,0.0005,-0.0008,0.01,0.2346,-0.1956,-0.0868,-0.2011,500.0,-0.0392,-0.0426,0.0106,0.255,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,995.0,1020.0,990.0,1020.0,6882700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1015.0,1015.0,995.0,995.0,4479400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1030.0,1030.0,990.0,1015.0,10692700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1065.0,1070.0,1025.0,1030.0,9089500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1075.0,1080.0,1055.0,1065.0,4185500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
