Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,ZP,EP,NI,CC,PD,BQ,XL,DR,GR,YP,YU,XC,KK,AK,RO,SQ,AG,LG,DH
2026-07-13,2330.0,2330.0,2310.0,2320.0,4500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0007,0.0,0.0005,-0.0032,0.0016,0.0,0.0067,0.0,0.0,-0.0007,0.0,-0.0014,0.0,0.0014,0.0,-0.0002,0.0,-0.0037,-0.0002
2026-07-14,2300.0,2330.0,2300.0,2330.0,15700,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0014,0.0,0.0035,-0.0132,0.003,0.0,-0.0074,0.0,0.0009,0.02,0.0,0.0014,0.0,-0.003,0.0,0.0002,0.0,-0.0039,0.0
2026-07-15,2330.0,2340.0,2310.0,2330.0,3100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0032,0.0,-0.0016,0.0037,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0,0.0,0.0
2026-07-16,2310.0,2330.0,2310.0,2330.0,2100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0042,0.0,-0.0,0.0,0.0005,0.0,0.0025,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0002,0.0002,-0.0002,0.0,0.0
2026-07-17,2360.0,2360.0,2290.0,2320.0,42800,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0012,-0.0002,0.0021,-0.0209,-0.0031,-0.0063,-0.0276,0.0012,-0.0017,0.0695,-0.0117,0.0019,0.0002,-0.0023,0.0,0.0,0.0,0.0,0.0
2026-07-20,2310.0,2380.0,2300.0,2360.0,21700,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2330.0,2340.0,2310.0,2310.0,15100,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2320.0,2330.0,2320.0,2330.0,3100,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2310.0,2350.0,2310.0,2320.0,72800,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2320.0,2330.0,2310.0,2310.0,1000,,,,,,,,,,,,,,,,,,,,,
