Date,Close,High,Low,Open,Volume,BK,NI,RO,HD,OD,DR,SQ,YP,YU,XC,KK,AK,XL,AI,TP,EP,DH,PD,CC,AZ,KI,BR,RX,HP,PC,XA
2026-07-13,765.0,795.0,755.0,770.0,235400,-0.0157,0.0,0.0002,-0.0,0.0004,0.0,0.003,0.0016,0.0018,-0.0016,0.0008,0.0003,0.16,0.0,0.0,0.0,0.0,-0.0096,0.0005,0.0,0.0,-0.1418,0.0,0.0,0.0,-0.0001
2026-07-14,765.0,790.0,755.0,770.0,189700,-0.0174,0.0038,0.0001,500.0,0.0,0.0,-0.0024,0.0453,0.0,0.0006,0.0002,0.0005,0.0398,0.0,0.0,0.0,0.0003,-0.0858,0.0313,0.0,0.0008,-0.017,0.0,0.0,-0.0001,0.0
2026-07-15,760.0,770.0,755.0,765.0,62200,-0.0172,-0.0019,0.0002,-0.0,0.0,0.0,0.0,0.004,0.0,0.0059,0.0002,0.0003,0.0162,0.0,0.0,0.0,0.0,-0.0012,-0.0104,0.0038,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,770.0,780.0,745.0,760.0,249300,-0.0053,-0.0074,0.0,-0.0002,0.0053,0.0,0.0002,0.0157,0.0,-0.0036,0.0,0.0027,0.0322,0.0,0.0,-0.0,0.0,-0.1081,0.057,0.0345,0.003,-0.0257,-0.0001,-0.0003,0.0,0.0
2026-07-17,760.0,770.0,750.0,770.0,258000,-0.0016,0.0063,0.0004,-0.0,0.0001,0.0005,0.0024,0.0234,0.0075,0.0011,0.0032,0.0002,0.0805,0.0015,0.0004,0.0001,0.0346,-0.1327,-0.0279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,765.0,775.0,755.0,760.0,196800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,765.0,770.0,760.0,765.0,449800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,780.0,780.0,765.0,765.0,114800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,810.0,845.0,780.0,800.0,427400,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,790.0,835.0,780.0,810.0,133900,,,,,,,,,,,,,,,,,,,,,,,,,,
