Date,Close,High,Low,Open,Volume,XC,SQ,YU,LG,KK,NI,AO,OD,XL,YP,CC,PD,DR,MG,QA,YB,CP,FS,RO,XA,AG,DH,BQ,CD,EP
2026-07-13,298.0,298.0,268.0,278.0,334300,0.016,0.0,0.0,0.0014,0.0055,0.0,0.0061,0.0004,0.0307,-0.0033,0.0028,-0.0008,-0.0001,0.0,-0.0009,0.0,-0.0,0.0,0.0027,-0.0538,0.0,0.0,-0.0066,0.0,-0.0
2026-07-14,274.0,296.0,274.0,296.0,416000,-0.0098,0.0004,-0.0024,0.0,0.0,0.001,-0.0435,0.002,0.0492,-0.0009,0.0012,0.0015,0.0003,0.0029,0.0,0.0,0.0,0.0,-400.0,-0.0023,0.0,0.0,0.0004,-0.0,0.0
2026-07-15,272.0,296.0,248.0,286.0,4433300,0.0034,-0.003,-0.0014,0.0,-0.0002,-0.0045,-0.0032,-0.0006,-0.1371,-0.0228,0.0008,0.0005,0.0335,0.4396,-0.0064,-0.0001,0.0089,0.0,0.001,-0.3073,-0.0,-0.0001,-0.0013,0.0,0.0
2026-07-16,270.0,272.0,264.0,272.0,250600,-0.0005,0.0,-0.0039,0.0005,0.0,-0.0011,-0.0033,0.0019,-0.009,0.0181,-0.0024,0.0,-0.0,0.0,0.0,-0.0005,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,266.0,272.0,264.0,272.0,245600,-0.0039,0.0001,-0.0005,0.0005,-0.0003,0.0008,-0.0,600.0,-0.0269,0.0013,0.0287,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,268.0,270.0,260.0,266.0,180800,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,270.0,270.0,254.0,254.0,586700,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,266.0,270.0,262.0,270.0,116500,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,264.0,268.0,260.0,266.0,301600,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,258.0,264.0,252.0,264.0,101100,,,,,,,,,,,,,,,,,,,,,,,,,
