Date,Close,High,Low,Open,Volume,HD,XL,PD,XC,SQ,MG,DH,AZ,NI,AO,RG,HP,PG,GR,RF,YP,AK,CC,OD,DR,LS,KK,DX,XA,ZP,EP,BQ,AT,SH,YU
2026-07-13,376.0,378.0,370.0,374.0,683500,0.0001,-0.0617,0.0028,0.0003,0.0,0.0,0.0004,0.0,-0.0539,0.0062,0.0,0.0,0.0343,-0.0009,0.0044,0.0124,-0.0001,0.1026,-0.1114,0.0,0.0,-0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748
2026-07-14,380.0,384.0,372.0,376.0,975000,-0.0001,0.0851,-0.0003,-0.0,0.0,0.0,0.0023,0.0,-0.0018,0.0166,0.0,0.0,0.0027,-0.0068,0.0508,0.0157,-0.0023,0.0759,-0.3236,0.0,0.0,0.0013,0.0,0.0001,0.0502,0.0227,0.0001,0.0,0.0114,0.0
2026-07-15,380.0,386.0,378.0,382.0,195400,-0.0,0.0009,0.0257,0.0,0.0,0.0002,-0.0013,0.0,0.0,0.0004,0.0,0.0004,0.0114,-0.004,0.0,-0.0215,-0.003,-0.0002,-0.0329,0.0,0.0076,0.0073,-0.0003,-0.0038,0.0133,0.0,0.0,0.0,0.0,0.0
2026-07-16,376.0,382.0,374.0,380.0,1073500,-0.0,0.0982,0.006,-0.0041,-0.19,0.0003,0.0,0.0,-0.0077,0.0054,0.0015,0.0,0.001,-0.0038,0.0378,0.0433,0.0007,0.0735,-0.0825,0.0,0.0075,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,382.0,382.0,374.0,376.0,269700,0.0001,-0.0079,0.0478,-0.0,0.0076,0.0004,-0.0013,-0.0058,0.0004,0.0007,0.0008,0.0003,0.0032,-0.0014,0.0213,-0.0237,0.0002,-0.0017,-0.0409,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,382.0,384.0,378.0,380.0,180400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,382.0,382.0,378.0,382.0,366400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,384.0,388.0,378.0,380.0,369100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,394.0,394.0,384.0,384.0,1347700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,384.0,392.0,382.0,392.0,178600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
