Date,Close,High,Low,Open,Volume,DH,EP,ZP,OD,SA,GR,CP,AI,HD,CC,YP,DR,LS,RO,SQ,NI,XC,BQ,KK,PD,XL,LG,XA,RX,AG,AZ,AT,CD,MU,YB,KI,RS,YU,AO,QA,YJ,PC,TP,IF,HP,GI,MG
2026-07-13,110.0,114.0,108.0,108.0,6012000,-0.0316,0.0249,-0.0045,-0.0008,0.0,-0.0445,-0.0014,0.0,0.0002,-0.0211,-0.0871,-0.0001,-0.0017,0.0,-0.0003,-0.0004,-0.0289,0.0004,0.0035,0.008,-0.002,0.3793,0.0,0.0,-0.0006,-0.1182,0.002,-0.0056,-0.0006,0.0,-0.0008,0.0,0.0,0.0,0.0006,-0.0001,0.0,-0.0006,-0.0682,0.0,0.0,0.0
2026-07-14,111.0,113.0,108.0,113.0,1788100,0.0,0.0,0.0,0.001,0.0,0.0001,-0.0006,0.0,-0.0002,-0.0004,-0.0126,0.0001,0.0,-0.0003,-0.0025,-0.0015,-0.036,0.0,0.0009,0.0118,-0.0044,0.0111,0.0,0.0,0.0,-0.0022,-0.0017,-0.0,-0.005,0.0,-0.0023,0.0,0.0477,0.0,0.0,-0.0028,-0.0,-0.0002,0.0,0.0,0.0,0.0
2026-07-15,109.0,112.0,109.0,111.0,747000,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,-0.0008,0.0041,0.0,0.0,0.0,-0.0006,0.0,0.0095,-0.0163,0.0052,0.0026,-0.031,0.0011,0.0,0.0,0.0,0.0,-0.0022,0.0055,0.0,0.0219,0.0,0.0001,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,108.0,109.0,106.0,109.0,5597500,0.0005,0.0198,0.006,0.0026,0.0,-0.0051,-0.0006,0.0054,-0.0001,0.0515,0.0003,0.0008,0.0,0.0,0.0005,0.0007,0.0052,-0.0003,0.0044,0.0061,-0.5315,0.4358,0.0002,-0.0,0.0,-0.0001,0.0002,-0.0,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,108.0,110.0,107.0,110.0,1154700,0.0003,-0.0139,0.0036,0.0,-0.0092,-0.0446,0.0011,-0.0054,-0.0,-0.0209,-0.0012,0.0039,-0.0018,-0.0,-0.0102,-0.0,0.0058,0.0,0.0786,0.0012,0.0116,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,109.0,110.0,107.0,108.0,2374000,0.0003,-0.0,0.0,0.0,-0.0098,-0.0294,-0.0164,0.0,0.0001,-0.1112,-0.0519,0.0016,0.0,0.0,-0.0001,0.0001,-0.0041,0.0,0.2208,0.0051,-0.0033,-0.0016,0.0,0.0,-0.0,0.0,0.0002,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,109.0,113.0,108.0,109.0,3197500,0.0004,0.0,0.0,0.007,0.0,-0.1537,-0.0014,0.0,0.0001,0.002,-0.011,-0.0028,0.0,-0.0008,-0.0017,0.0212,-0.0005,-0.0003,-0.0223,-0.0063,-0.024,-0.0,0.0,0.0,0.0,0.0022,-0.0003,-0.0001,0.0,0.001,0.0,0.0,0.1892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021
2026-07-22,109.0,111.0,108.0,110.0,1553000,0.0003,-0.0011,0.0,0.0153,0.0,-0.0218,-0.0013,0.0,-0.0002,0.0026,0.0036,0.0,0.0,0.0,-0.0095,0.0002,0.0379,0.0,-0.0485,-0.0086,0.0279,0.0016,0.0,0.0,0.0,0.0001,0.0021,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0004,0.0
2026-07-23,108.0,112.0,107.0,110.0,10337700,-0.0346,0.0364,0.2464,-0.0026,0.0,-0.9035,0.0171,0.0,0.0,0.0476,0.1472,0.0136,0.0,0.0001,0.0002,0.0126,0.0389,-0.0002,0.0267,0.0588,0.0286,0.0157,0.0,0.0,0.0,0.1778,0.0329,0.0,0.0,0.0001,0.0,0.0,0.0,0.0216,0.0001,0.0,-0.0,0.0,0.0184,0.0001,0.0,0.0
2026-07-24,107.0,109.0,106.0,108.0,3977900,0.0,0.0,0.3045,-0.0369,0.0,0.0033,-0.0002,0.0,0.0004,0.0041,-0.0211,-0.0097,-0.0021,0.0,0.0004,-0.0123,0.0139,0.0,-0.2492,0.0101,-0.0092,0.0003,0.0,0.0,0.0,0.0,-0.0005,0.0,-0.0,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0
