Date,Close,High,Low,Open,Volume,XL,PD,EP,GR,XC,KK,YP,AZ,CC,OD,RO,XA,YU,FS,YJ,DH,NI,BQ,SQ,RG,KI,CP,HP,AG,DR,MG,AT
2026-07-13,78.0,82.0,77.0,77.0,1803900,0.0389,0.0015,0.0002,-300.0,-0.0023,-0.0072,-0.0234,-0.0,-0.0065,0.001,0.0,-0.0002,0.0,0.0,-0.0066,0.0,0.0,-0.0035,0.0039,0.0,-0.0002,0.0078,0.0,0.0,0.0043,-0.0051,-0.0024
2026-07-14,78.0,80.0,77.0,77.0,941000,-0.0119,-0.0012,0.0098,0.0,-0.0001,0.001,-0.0018,0.0012,0.0002,-0.0004,0.0,0.0,0.0,0.0,0.0063,-0.0023,0.0,-0.0007,0.0039,0.0,0.0,-0.0,-0.0,-0.0001,-0.0039,0.0,0.0
2026-07-15,79.0,80.0,78.0,78.0,915700,0.0034,-0.0091,0.0001,0.0,0.0007,-0.0028,-0.0021,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0063,0.0,-0.0039,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,80.0,81.0,78.0,80.0,871600,-0.0397,-0.0002,100.0,0.0,0.0,0.0015,0.0172,0.0,0.0069,-0.0016,0.0032,-0.0,0.001,-0.0,0.0183,-0.0004,-0.0063,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,79.0,80.0,78.0,80.0,458000,0.0003,-0.0001,0.0002,0.0,0.0,-0.0004,0.0001,-0.0012,0.0014,-0.0003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,79.0,84.0,78.0,80.0,2699900,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,106.0,106.0,79.0,79.0,34051100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,91.0,115.0,91.0,108.0,85028400,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,89.0,92.0,87.0,88.0,6983400,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,88.0,91.0,87.0,90.0,3732800,,,,,,,,,,,,,,,,,,,,,,,,,,,
