Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,QA,SH,DR,SQ,YP,SS,HP,XC,LG,KK,XL,YJ,AI,DH,AZ,IF,MG,LS,MI,MU,CP,BK,RO,RB,DU,YU,ZR,AK,AT,ZP,TF,TP,EP,CD,PD,BQ,KI,BR,GR,CC,AO,FZ,EL,RG,IN,AG,DX,HD,RF,BS,PI,AR,SF
2026-07-13,700.0,705.0,670.0,695.0,9930200,0.0912,0.0347,0.0288,0.0025,-0.0007,0.0,0.007,-0.3244,-0.7924,0.0,0.0007,0.0508,0.0206,0.0184,-1.3,-0.0531,-0.0187,-0.0031,-0.0819,0.0034,0.0027,0.0,0.0473,0.0,-0.0593,0.1493,-0.0027,0.0,0.0,0.0035,0.0,0.529,0.0319,0.0933,0.0,0.058,0.0018,0.0,-0.2417,-0.0054,-0.0003,0.0,0.8505,0.3865,0.056,0.0,0.0,-0.035,0.4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,700.0,710.0,690.0,700.0,8701200,-0.9109,0.0682,0.0655,0.002,0.0,0.0,0.0,0.1395,0.1531,0.0,0.0018,-0.0176,0.0005,0.1782,-0.1127,0.0014,0.0,0.0707,0.0001,0.0,-0.0624,0.0,0.0,0.0,0.0102,0.0986,0.0018,0.0,0.0,0.0001,0.0,-0.6374,-0.0353,-0.0036,0.0,0.0718,-0.0577,0.0,0.1095,0.021,0.0065,0.0,-0.0117,0.6389,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,695.0,700.0,685.0,700.0,8462400,0.0028,0.0009,-0.0479,0.1017,0.0041,0.0,0.0021,0.2995,-0.0042,0.0,0.0,-0.015,-0.0029,0.2992,-0.3616,0.0,0.0,0.0186,0.001,-0.0001,-0.0352,0.0,0.0414,0.0,-0.5767,-0.0969,0.0054,0.0007,0.0031,0.0002,0.0,0.3022,0.0009,0.0076,0.0,0.094,-0.0146,0.0,-0.0473,0.7917,0.0001,0.0,0.04,-0.2676,0.0,0.0141,0.0069,0.0343,-0.6027,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,690.0,695.0,675.0,695.0,5671300,-0.0222,0.0106,0.0349,0.0064,0.0,0.0,0.0006,0.0295,-0.7515,0.0,-0.0017,0.0678,-0.0571,-0.0134,0.9418,0.001,0.0,-0.0054,0.0074,0.0,0.0186,0.0,0.0,0.0,0.0133,-0.1169,0.0008,0.0,0.0003,0.0476,0.0,-0.0439,0.0005,-0.0302,0.0,0.0014,-0.009,0.007,0.0467,0.0,0.0049,0.0,0.0354,-0.1972,0.0,-0.0003,0.0068,-0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,760.0,790.0,690.0,690.0,57614100,-0.5168,0.1374,0.0692,-0.1103,-0.0013,-0.1547,-0.0212,-0.6475,0.1037,-0.0003,-0.0102,0.7448,4.3,-0.564,-4.2,-0.1545,0.0112,-0.0034,0.1205,0.0685,0.2895,0.0121,-0.0545,-0.0005,-0.3973,0.526,-0.0136,-0.0008,-0.0038,0.4363,-0.0002,0.2994,-0.0259,-0.0658,0.0027,0.0174,-0.1235,-0.0053,0.1142,-0.7763,-0.3265,0.0083,0.2295,0.6394,0.007,0.0896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,760.0,820.0,740.0,785.0,35475900,-0.0273,-0.0156,-0.0178,0.0552,0.0162,0.0,0.0154,0.8177,0.3396,0.0,0.1249,1.2,-1.6,-0.0523,2.4,0.0014,0.0081,0.0624,0.0686,0.0005,-0.2076,0.0294,0.0546,-0.0004,0.1392,-0.6562,0.101,0.0,0.0,0.1495,0.0,-0.7269,-0.0015,0.0116,-0.0012,-0.0475,-0.0349,0.0153,0.2284,-0.0633,0.0318,0.0079,-0.4309,-1.9,-0.0061,-0.1062,0.0,0.0,0.0,0.0005,-0.0014,0.0,0.0008,0.0,0.0,0.0,0.0
2026-07-21,800.0,800.0,750.0,760.0,22697600,-0.1594,0.0142,-0.1096,0.0321,-0.0169,-0.0858,-0.0484,-0.234,-0.9003,0.0,0.0177,-0.0305,-1.5,-0.3532,-1.5,0.0995,0.003,-0.0509,-0.1535,0.0154,0.0783,0.0,-0.0214,0.0,0.0256,0.0243,0.0124,0.0,0.0,0.0672,0.0,2.0,0.0002,0.2523,0.0,0.2159,-0.0564,-0.0093,0.2189,-0.082,-0.0036,-0.0078,-0.5211,2.9,0.0,0.0,0.0,0.0,-0.1036,-0.0158,0.0417,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-22,750.0,810.0,740.0,800.0,45556900,0.2726,-0.0093,0.9274,0.1215,0.0,-0.0532,0.1332,0.3161,1.1,0.0,0.205,2.9,-13.0,0.3167,7.0,0.0,0.022,0.166,-0.0613,-0.0009,0.066,0.0,0.0,0.0,-0.1674,-0.0252,0.0232,0.0,0.0,0.0329,0.0,-2.0,0.0442,-0.2319,0.0,-0.007,0.1651,0.0,0.4818,0.3055,0.0349,0.0,-0.0289,0.7939,0.0,0.0,0.0,0.0,0.0,0.0151,-0.08,0.0,0.0,0.074,0.0671,0.0149,0.0
2026-07-23,750.0,760.0,730.0,750.0,24422700,0.1557,-0.0507,-0.1893,0.0068,-0.0008,0.0,0.034,0.2788,0.421,0.0,-0.0675,0.0873,-5.0,0.2366,3.3,0.0,-0.009,0.0176,0.08,-0.0679,-0.1207,0.0004,-0.0002,0.0,0.1126,0.0,0.0088,0.0,0.001,0.0026,0.0,-0.1145,-0.0022,0.024,-0.0015,0.2725,0.011,0.0,0.5384,0.0799,0.0053,-0.0075,0.1532,-0.2826,0.0,0.0075,0.0,-0.0005,0.0,0.0,0.0395,0.0,0.0008,0.0,0.0,0.0,0.0
2026-07-24,705.0,750.0,695.0,750.0,23163200,0.052,0.0955,0.1429,-0.0008,0.0,0.0,-0.1046,0.271,0.4164,0.0,-0.0319,0.791,-4.0,0.2696,0.5037,0.0025,0.0116,0.0852,0.1852,0.0,0.0555,0.0,-0.0816,0.0,0.159,0.0347,0.0129,0.0,0.0,-0.1347,0.0,0.5147,0.0459,-0.1059,0.0,0.1403,0.2271,-0.0013,0.244,0.0,0.1645,0.0,-0.1458,0.2157,0.0,0.0144,0.0,0.0,0.0,0.0,-0.0409,0.0284,0.0,0.0,0.0,0.0,0.0
