Date,Close,High,Low,Open,Volume,EP,NI,RO,BQ,OD,RG,RX,MG,DR,SQ,YP,YU,XC,LG,CC,XL,PD,AT,GR,KK,ZP,CP,AK
2026-07-13,260.0,270.0,260.0,268.0,481100,0.0,0.0001,0.0001,0.0,0.0016,0.0019,0.0,0.0,-0.0024,0.0,0.0037,0.0,0.0059,0.0,0.0254,-0.0119,0.0,0.0,0.0022,0.0,0.0,-0.0131,-0.0135
2026-07-14,276.0,308.0,266.0,276.0,1812200,-0.0074,-0.0001,0.0,-0.0006,-0.0123,0.0,0.0,-0.0001,-0.0001,0.0025,-0.0094,0.0,0.0185,-0.0007,-0.0324,0.0684,0.015,0.0,0.0,-0.0,-0.0408,-0.0005,0.0
2026-07-15,268.0,278.0,244.0,276.0,528600,0.0098,0.0019,0.0001,0.0001,0.0049,0.0,0.0,0.0,-800.0,-0.0013,0.0034,0.0,-0.0051,0.0012,-0.0149,-0.0091,0.0017,0.005,0.002,0.0003,0.0,0.0,0.0
2026-07-16,262.0,270.0,260.0,268.0,278000,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0001,0.0005,0.0032,0.0,0.0034,-0.0,0.0117,-0.0119,-0.0019,-0.005,0.0,0.0,0.0,0.0,0.0
2026-07-17,256.0,266.0,254.0,262.0,189500,-0.0,0.0004,0.0001,-0.0003,-0.0021,0.0013,-0.0129,-0.0,0.0001,-400.0,0.0031,0.0039,-0.0061,0.0017,0.0088,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,254.0,262.0,250.0,256.0,349400,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,248.0,260.0,246.0,256.0,372100,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,244.0,252.0,242.0,252.0,205200,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,282.0,304.0,244.0,244.0,14837100,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,254.0,304.0,242.0,286.0,4160800,,,,,,,,,,,,,,,,,,,,,,,
