Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,SQ,YU,RO,LG,XA,KK,LS,ZP,AT,KI,AK,EP,AI,BK,XL,YP,DH,OD,CC,YB,NI,BQ,GR,HD,PD,DR,KZ,DX,QA,AG,HP,AZ,CP,IF,MG,TF
2026-07-13,286.0,290.0,278.0,288.0,2456900,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.005,0.0136,0.0282,-0.001,0.0,0.0004,-0.0272,0.0,0.0439,-0.0001,0.0,-0.1195,0.001,0.0,0.0084,0.0535,-0.0169,-0.0538,-0.0017,-0.1563,0.0001,0.2026,-0.0012,0.0156,-0.0007,0.0162,-0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0011
2026-07-14,282.0,290.0,278.0,290.0,3701100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0287,0.0718,-0.0393,0.0001,0.0039,0.0007,0.0001,0.0039,-0.0147,0.0,0.0,-0.1149,0.0,0.0,-0.0009,0.2915,0.0779,0.0029,0.011,-0.1787,0.0,0.025,0.0001,0.0086,0.0007,0.3074,0.0,0.0,0.0003,0.0,0.0,0.0,-0.4342,0.0055,0.0,0.0,0.0
2026-07-15,284.0,284.0,278.0,284.0,2810000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0174,0.016,0.047,0.0001,-0.0051,-0.0011,0.0006,-0.0001,-0.0285,0.0,0.0,-0.0759,0.0008,0.0,-0.0009,0.2978,0.1008,-0.0001,-0.2311,-0.3354,0.0,-0.0014,-0.0045,0.0169,0.0012,0.1768,0.0,0.0,0.0004,0.0001,0.0097,-0.0017,0.0,0.0,0.0,0.0,0.0
2026-07-16,282.0,284.0,278.0,284.0,1619400,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0215,0.0048,0.0466,-0.0001,0.0,0.0008,0.0,-0.0016,0.0563,0.0,0.002,-0.0644,-0.0,0.0,-0.0075,0.1127,0.0328,0.0001,-0.0073,-0.2354,0.0,-0.0088,0.0028,0.014,-0.002,0.0284,0.0,0.0043,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,284.0,288.0,278.0,282.0,1624100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.016,0.0272,0.023,-0.0001,0.0482,0.0,0.0055,-0.0039,0.0024,0.0001,-0.002,-0.0101,0.0007,0.0015,0.04,0.0613,0.0416,0.0003,-0.0002,-0.2275,-0.0006,-0.0029,-0.0024,-0.0086,-0.0,0.0086,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,286.0,290.0,282.0,284.0,3753200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,294.0,294.0,284.0,286.0,5296600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,292.0,296.0,286.0,296.0,6019600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,286.0,292.0,284.0,292.0,7892700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,282.0,288.0,276.0,286.0,12921600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
