Date,Close,High,Low,Open,Volume,XC,XL,YP,CC,PD,EP,KK,NI,DR,CD,AK,BQ
2026-07-13,1330.0,1390.0,1320.0,1320.0,9900,0.002,0.0012,0.0004,0.0001,0.0,0.0003,0.0,0.0,0.0,-0.0042,0.0001,-0.0
2026-07-14,1390.0,1400.0,1330.0,1350.0,9700,-0.0044,0.0005,0.0001,0.0033,-0.0,-0.0001,0.0004,0.0,0.0001,0.0,0.0,0.0
2026-07-15,1395.0,1395.0,1360.0,1390.0,5000,-0.0043,0.0017,-0.0003,0.0026,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0
2026-07-16,1415.0,1450.0,1310.0,1395.0,7500,-0.0025,0.0002,0.0001,-0.0006,0.0001,0.0018,0.0008,0.0,0.0,0.0,0.0,0.0
2026-07-17,1395.0,1415.0,1345.0,1385.0,3600,-0.0011,0.0036,-0.0001,-0.0031,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1380.0,1420.0,1380.0,1395.0,5000,,,,,,,,,,,,
2026-07-21,1400.0,1420.0,1380.0,1415.0,8500,,,,,,,,,,,,
2026-07-22,1435.0,1435.0,1380.0,1400.0,16000,,,,,,,,,,,,
2026-07-23,1405.0,1435.0,1390.0,1435.0,49600,,,,,,,,,,,,
2026-07-24,1395.0,1460.0,1385.0,1460.0,4800,,,,,,,,,,,,
