Date,Close,High,Low,Open,Volume,GR,PD,CC,XL,XA,YP,EP,KK,AT,XC,SQ,OD,BQ,MU,LG,RO,DH,NI,AZ,HP,ZP,AG,YB,CP,MG
2026-07-13,107.0,108.0,104.0,107.0,490300,0.0313,0.0002,0.0018,-0.0262,0.0,-0.0,0.0,0.0001,0.0011,0.0034,-0.0001,0.0,-0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0147
2026-07-14,106.0,107.0,104.0,107.0,224400,0.0099,-0.0134,0.0019,-0.0013,0.0,0.0001,0.0,-0.0013,0.0008,0.003,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0,0.0,0.0001,0.0,-0.0,-0.0008
2026-07-15,106.0,108.0,104.0,106.0,568900,0.0024,0.0003,0.0476,-0.0029,0.0,0.0001,0.0001,0.0001,-0.0018,-0.039,0.0,0.0,0.0003,0.0,0.0,0.0004,0.0001,-0.0,0.0001,0.0,0.0001,0.0001,-0.0079,0.0,0.0
2026-07-16,108.0,108.0,105.0,106.0,330200,-0.0126,0.0003,-0.0,0.0198,0.0,-0.0074,0.0,0.0,0.0,0.0021,0.0003,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0005,-0.0027,0.0,0.0,0.0,0.0,0.0
2026-07-17,108.0,117.0,106.0,108.0,376500,0.0002,-0.0052,0.0022,-0.0003,0.0,-0.0006,-0.0005,-0.0032,0.0001,-0.0015,0.0,0.0,-0.0003,0.0144,-0.0042,-0.0001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,108.0,110.0,108.0,108.0,73400,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,110.0,111.0,106.0,109.0,89100,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,110.0,110.0,107.0,109.0,141000,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,107.0,110.0,105.0,110.0,2329000,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,107.0,108.0,106.0,108.0,19600,,,,,,,,,,,,,,,,,,,,,,,,,
