Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,XL,AI,DH,AZ,IF,MG,LS,CP,BK,RO,IC,YU,AK,AT,ZP,TP,EP,PD,BQ,BB,AG,KI,GR,CC,DX,YJ,FZ,PC,MU,IN,RB,CD,PO,PI,DU,TF,AF,YO
2026-07-13,137.0,140.0,137.0,139.0,56228600,0.9819,0.0122,0.0083,0.0461,-0.0048,0.0,0.0076,0.1791,0.1284,0.0525,0.2779,0.0053,0.0949,1.9,0.0,0.0927,0.0026,0.0103,0.0209,0.0,0.018,-0.0525,0.0027,0.0,-0.014,0.1463,0.0,-2.5,-2.2,0.0147,0.3908,-0.0002,0.0,0.0,0.0134,0.1273,0.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137
2026-07-14,137.0,138.0,136.0,137.0,37029400,0.1391,0.0495,0.0,-0.0216,0.0228,0.0009,0.0118,0.0264,0.2458,-0.0241,0.2536,0.0,0.0413,0.6155,-0.0009,0.039,0.0,0.0,0.0,0.0041,0.1503,-0.1133,0.0142,0.0,0.0032,0.4771,-0.0044,-1.3,-1.1,0.0167,0.1558,-0.0002,0.1897,0.0,0.0097,0.0008,0.0747,0.0075,0.0,0.0,0.0,0.0,0.0,0.0015,0.0014,0.0,0.0,0.0,0.0,-0.0014,0.0
2026-07-15,137.0,138.0,136.0,137.0,40239300,0.3773,0.0064,-0.0003,-0.0406,-0.0044,0.0029,-0.002,-0.0888,-0.0463,-0.0177,0.1435,0.0076,-0.087,-0.3258,-0.5272,-0.094,0.0108,0.0001,-0.0207,0.0305,0.1313,-0.1295,-0.0085,0.0,-0.0051,1.3,0.0221,-0.7535,-0.8855,-0.0012,0.1337,0.0,0.0,0.0001,-0.0147,0.4565,0.4639,0.0002,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0014,0.0,-0.0,-0.0207,0.0001,0.0,0.0
2026-07-16,140.0,140.0,137.0,138.0,94641400,-0.1757,0.0446,0.0135,0.1114,-0.0536,-0.0018,0.6628,0.1319,-0.0261,-0.0111,-0.316,-0.1552,-0.0486,-2.1,0.0,-0.4373,0.0423,0.0002,0.0,-0.0028,-0.1318,-0.0264,-0.0004,0.0001,0.0028,1.6,0.001,-4.9,-0.0585,0.0515,0.1318,0.0033,0.0,-0.0035,0.2359,1.6,3.1,0.007,0.0042,-0.0001,0.0041,-0.0,0.6949,0.0007,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,139.0,140.0,138.0,140.0,34174400,0.0902,-0.0561,0.0029,-0.0005,0.0551,0.0013,0.0071,0.2332,0.6296,-0.011,0.5391,-0.0,-0.0222,0.0932,0.0025,0.0311,-0.038,-0.0001,-0.0044,0.0001,-0.0067,-0.1025,0.0025,-0.0001,0.0036,-0.3711,0.0048,-0.8425,0.1035,0.0165,-0.0252,0.0002,-0.4876,0.0001,0.0028,0.0163,0.1322,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,138.0,141.0,138.0,139.0,65099500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,138.0,140.0,138.0,138.0,56339800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,138.0,139.0,137.0,139.0,59147100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,139.0,141.0,137.0,138.0,99954300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,137.0,140.0,137.0,139.0,53848000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
