Date,Close,High,Low,Open,Volume,XC,SQ,LG,AZ,KK,ZP,AT,AG,EP,AK,OD,YP,DH,XL,CC,FZ,YB,CD,NI,BQ,GR,HD,PD,RO,XA,CP,TP,RG,HP,DR,IF,BK,MU,AO,QA
2026-07-13,238.0,242.0,234.0,242.0,1137400,-0.0018,0.0027,0.0113,0.0,0.0007,-0.0132,0.0,0.0002,-0.0201,-0.0028,-0.0003,-0.0146,0.0057,-0.0652,-0.0009,0.0,0.0074,0.0436,0.0003,0.0,0.0002,0.0007,0.0216,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.012,0.0,0.0,-0.0002
2026-07-14,248.0,254.0,238.0,238.0,2192500,-0.0399,0.0762,0.0,-0.0051,-0.0033,-0.0001,0.0,-0.0026,0.077,-0.0085,-0.0001,-0.0156,-0.0117,-0.0777,0.0452,0.0,0.0,0.0,-0.015,0.0028,-0.0054,-0.0007,-0.0245,-0.0,0.0,0.0008,0.0,0.0001,0.0101,0.0,0.0,0.0005,0.0,-0.0025,0.0
2026-07-15,248.0,256.0,244.0,248.0,2697300,0.0848,-0.0187,0.0,-0.0013,0.0279,-0.0738,0.0,0.0,0.0631,-0.0333,-0.0009,0.0114,0.0,-0.0239,-0.0314,0.0,0.0025,0.0,0.0001,-0.0064,-0.0005,0.0003,0.0002,0.0,0.0,-0.0076,0.0,0.0,0.006,0.0,0.0015,0.0,0.0,0.0,0.0
2026-07-16,246.0,252.0,246.0,250.0,2516900,0.0244,0.002,0.0,0.0099,0.0073,-0.0199,0.0,0.0006,-0.0577,-0.0395,-0.0162,0.0089,0.0012,-0.0332,0.041,0.0,0.0074,0.0,0.0077,0.0005,0.0,0.2523,0.0234,0.0005,-0.2467,0.0045,0.0005,0.0006,0.0198,0.0007,0.0,0.0,0.0,0.0,0.0
2026-07-17,246.0,250.0,238.0,246.0,1063000,-0.0071,0.009,-0.0176,0.0004,-0.0106,-0.0293,0.0495,0.001,0.0349,-0.0067,-0.0018,0.003,0.0,-0.0171,-0.0145,0.0005,0.0014,0.0041,0.015,0.001,0.0061,0.0002,-0.0212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,262.0,266.0,248.0,256.0,6503100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,264.0,266.0,260.0,266.0,3860400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,260.0,266.0,256.0,264.0,3236700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,254.0,268.0,250.0,260.0,6173700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,252.0,260.0,252.0,254.0,2534900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
