Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,AH,HD,OD,SH,DR,SQ,YP,YU,ZR,XC,KK,XL,AK,AT,YJ,EL,TP,EP,SF,PD,BQ,AZ,IF,MG,PC,GR,CC,AO,IH,CP,YB,QA,LG,DH,AG,BR,AI,DX,ZP,KI,LS
2026-07-13,282.0,284.0,280.0,282.0,11504700,0.0,0.0012,0.0756,0.0342,0.0,0.007,0.0042,-0.0196,0.0005,0.0,0.0033,0.0028,0.0065,0.066,0.0029,0.0867,0.0131,0.0,-0.0562,-0.0015,-0.0213,-0.0073,0.0,0.0456,0.0001,0.0056,0.0,0.0137,-0.0045,0.0002,-0.1503,-0.0181,0.0226,0.0,0.0,0.0014,0.3162,0.0,0.0,0.0,0.0,0.0,-0.0063,-0.423,-0.0014
2026-07-14,278.0,284.0,274.0,284.0,9088600,-0.0371,0.003,0.0,0.0367,0.0,0.0234,0.0249,0.004,0.0013,0.0006,0.0347,0.0,0.0003,0.0222,0.0022,0.198,0.0865,0.0,-0.0236,-0.002,0.0001,-0.0082,-0.0003,-0.1607,0.0012,-0.8895,0.0,0.025,0.0132,0.0001,-0.2427,0.012,0.0431,0.0004,0.0045,0.0,0.834,0.0013,0.0,-0.0036,0.0002,-0.005,0.0,0.0,0.0
2026-07-15,278.0,280.0,276.0,280.0,6284300,-0.0147,0.0006,0.0,-0.0116,0.0,-0.013,0.0005,0.023,-0.0018,0.0,0.0016,0.0,-0.0117,0.012,-0.0015,-0.0087,-0.005,0.0,0.012,0.0096,0.0114,-0.0082,0.0,0.0149,-0.0117,0.0001,0.0,-0.0116,-0.0113,0.0112,-0.0177,-0.0117,0.0516,0.0001,0.0,0.0,0.0,0.0088,0.0,-0.0171,-0.0001,0.0,0.0,0.0,0.0
2026-07-16,282.0,284.0,278.0,278.0,12364700,0.0129,0.003,0.0088,-0.0315,0.0056,-0.0113,-0.0123,0.0012,0.0014,-0.0,0.0242,0.0,-0.0295,0.0212,0.0625,0.0487,0.0769,0.0,-0.0054,0.0001,-0.0087,-0.0021,0.0,0.0184,-0.0202,-0.0,-0.5404,0.0017,-0.0114,0.0202,0.2563,-0.0117,0.007,0.5418,-0.0046,-0.0014,-0.3363,0.0034,0.0011,-0.0897,0.0,0.0,0.0,0.0,0.0
2026-07-17,282.0,284.0,278.0,284.0,14720900,-0.0705,0.0316,-0.0083,-0.0043,0.0087,-0.0228,0.0166,0.0001,0.0007,0.0061,0.0065,-0.0,0.0161,0.0163,0.0434,0.1812,-0.1163,0.0028,-0.0237,0.0234,0.0007,-0.0162,0.0001,0.0031,0.0004,0.0001,-0.223,0.0386,0.0347,0.0171,0.0817,-0.0001,-0.0448,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,284.0,288.0,282.0,282.0,14513800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,288.0,292.0,286.0,286.0,8760200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,286.0,288.0,282.0,288.0,8464900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,284.0,286.0,282.0,286.0,8837100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,282.0,284.0,278.0,284.0,8804000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
