Date,Close,High,Low,Open,Volume,AK,EP,NI,RO,PD,OD,BQ,AZ,QA,GR,YP,SQ,KK,XC,LG,CC,XL,CP,XA,YB,DR,AT,DH,AG,MG,KI,TP,CD,GI,IF,RG,PC,YU,ZP
2026-07-13,69.0,70.0,66.0,66.0,5311200,0.0022,0.0,0.0109,0.0001,0.0048,0.0004,-0.0,0.0,0.0069,0.0,0.0145,0.0004,-0.0104,0.0142,-0.002,-0.0037,-0.0393,-0.0001,0.0,0.0,0.0077,0.0,0.0,0.0,700.0,-0.0002,-0.001,0.0,-0.0,0.0,0.0,0.0,-0.0003,-0.0051
2026-07-14,71.0,72.0,68.0,70.0,9009500,-0.0018,0.0002,-0.0013,-0.0003,0.0024,-0.0004,0.0022,-0.0417,0.0022,-0.0546,-0.021,-0.0011,-0.001,-0.0112,-0.0041,0.1369,-0.0399,0.0053,0.0,-0.0002,0.0152,0.0014,-0.0,0.01,0.0,-0.0,0.0,0.0,-0.0,0.0016,0.0014,-0.0,0.0,0.0
2026-07-15,70.0,71.0,69.0,71.0,2366600,-0.0012,0.0,-0.0006,0.0,-0.0142,0.0007,-0.0067,0.0,0.0031,0.0,0.0054,0.0,-0.0036,-0.0076,0.0,0.0003,0.0124,-0.0093,0.0,0.0,0.0104,0.0,0.0,0.0069,0.0,0.0,0.0035,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,70.0,72.0,68.0,70.0,6752700,0.0024,0.0,-0.0066,0.0,0.022,-0.0015,0.0018,0.0055,-0.0052,0.0,-0.0193,0.0005,0.0047,0.0064,0.0008,-0.0578,0.025,-0.0045,-0.0,-0.0009,0.0142,-0.0014,0.0003,0.0136,0.0001,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,70.0,71.0,69.0,70.0,2186100,-0.0047,-0.027,0.0039,-0.0,0.0014,0.0006,-0.0,-0.0053,-0.0003,0.0007,0.0257,-0.0,-0.0014,-0.0135,0.0001,0.0003,0.0177,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,71.0,73.0,69.0,70.0,3600500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,71.0,72.0,70.0,71.0,4950100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,70.0,73.0,70.0,71.0,7878400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,70.0,72.0,70.0,70.0,10302900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,69.0,70.0,67.0,70.0,4489600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
