Date,Close,High,Low,Open,Volume,XC,YP,AZ,RG,NI,LS,DH,PC,AO,GR,EP,OD,XL,IN,AK,CC,PD,CP,MG
2026-07-13,2080.0,2110.0,2020.0,2070.0,32600,-0.0006,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001,-0.0002,-0.0002,0.0,0.0,0.0004
2026-07-14,2030.0,2110.0,2020.0,2020.0,30700,0.0008,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004,-0.0012,-0.0002,0.0,0.0,0.0,0.0
2026-07-15,2030.0,2150.0,2030.0,2030.0,79100,-0.0062,0.0004,0.0,0.0,0.0,0.0,0.0008,0.0,-0.0,0.0,-0.0004,0.0014,0.0178,0.0196,-0.0035,-0.0286,0.0,-0.0013,0.0
2026-07-16,2030.0,2090.0,2030.0,2090.0,2600,0.0,0.0004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.002,-0.0047,0.0,-0.0004,0.0,0.0,0.0
2026-07-17,2000.0,2320.0,2000.0,2030.0,28900,0.001,-0.0069,0.0002,0.0054,0.0001,0.0008,-0.0002,0.004,0.0002,-0.0153,-0.0007,-0.0003,0.0249,-0.0044,-0.0002,-0.0094,0.0008,0.0,0.0
2026-07-20,1965.0,2120.0,1965.0,2010.0,82100,,,,,,,,,,,,,,,,,,,
2026-07-21,1955.0,2060.0,1955.0,1975.0,43100,,,,,,,,,,,,,,,,,,,
2026-07-22,1960.0,1995.0,1960.0,1960.0,41800,,,,,,,,,,,,,,,,,,,
2026-07-23,2010.0,2010.0,1950.0,1990.0,14000,,,,,,,,,,,,,,,,,,,
2026-07-24,2000.0,2000.0,1980.0,1980.0,5400,,,,,,,,,,,,,,,,,,,
