Date,Close,High,Low,Open,Volume,XL,PD,YU,XC,SQ,CP,MG,DH,AZ,MI,NI,TP,BQ,LG,KI,AG,TF,XA,GR,YP,ZP,CC,OD,KK,YB,LS
2026-07-13,114.0,115.0,109.0,112.0,190200,-0.0047,-0.0006,0.0,0.0014,0.0,0.0,0.0,0.0,-0.0003,0.0,-0.0004,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0066,-0.0048,-0.0002,0.0073,-0.0,-0.0001,-0.0036,-0.0006
2026-07-14,112.0,113.0,110.0,112.0,188200,0.0013,-0.0034,0.0,-0.0079,0.0001,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0,0.0089,0.0,0.0012,0.0,0.0
2026-07-15,113.0,116.0,112.0,113.0,83300,-0.001,0.0,0.0,0.0025,0.0001,0.0,0.0,0.0,-0.0001,0.0,0.0022,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0003,-0.0036,0.0,-0.0,0.0,0.0
2026-07-16,113.0,114.0,113.0,113.0,136200,-0.0028,-0.0003,0.0,0.0013,0.0,-0.0011,0.0,0.0,-0.0029,0.0,0.0025,0.0001,0.0,0.0,0.0006,0.0,0.0,0.0,0.0051,-0.0022,0.0,-0.0002,0.0,0.0,0.0,0.0
2026-07-17,113.0,122.0,109.0,113.0,1183800,0.0001,-0.0001,0.0011,0.0002,0.0009,0.0005,-0.0,-0.0007,0.0025,-0.0016,0.0005,0.0,-0.0002,-0.0006,0.0005,0.0,0.0,0.0,0.0011,-0.0011,-0.0001,-0.0036,0.0001,0.0002,0.0,0.0
2026-07-20,114.0,119.0,112.0,113.0,276000,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,112.0,116.0,112.0,116.0,622900,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,116.0,117.0,113.0,115.0,239900,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,111.0,117.0,108.0,117.0,5973900,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,108.0,111.0,106.0,111.0,736200,,,,,,,,,,,,,,,,,,,,,,,,,,
