Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,MI,XA,AT,AK,EP,YP,DH,CC,GI,YB,NI,BQ,PD,QA,SQ,PO,KK,CP,ZP,OD,AG,AI,BK,XL,FZ,MG,TP,FS,AR,IF,JB,AO,GR,IN,HP,RO,IH,IU,KI,DU,SA,DR,PC,SH,MU,YJ,PG
2026-07-13,70.0,71.0,65.0,70.0,58622700,-0.1055,-0.0002,-0.1389,0.0763,0.0103,-0.0019,0.0009,-0.0367,0.0097,-0.0462,-0.0003,0.4669,-0.0,0.1981,0.0057,0.0185,-0.0169,0.0051,0.0014,-0.0071,-0.0538,0.042,-0.0445,-0.0012,0.0,0.0,0.0253,-0.2229,0.0,-0.1314,0.0008,0.0,-0.0008,-0.0017,0.0013,-0.0006,0.0085,0.0,-0.0341,-0.0037,0.0,0.0,-0.0014,0.0,-0.0204,0.003,0.0032,-0.0138,0.0,0.007,0.0
2026-07-14,69.0,72.0,68.0,71.0,60483500,0.0301,-0.0036,-0.0012,-0.0731,0.007,0.0036,-0.003,0.4435,-0.0415,-0.0235,0.0547,-0.1338,0.0,-0.0011,0.0136,-0.0162,-0.1772,0.0013,0.0013,0.0069,0.0013,-0.0695,0.0281,-0.0657,0.0,0.0,-0.0007,-0.0619,0.0,-0.0568,0.1403,0.0025,0.0223,0.006,0.0,0.0225,0.036,0.0,-0.0001,-0.0022,0.0,0.0021,0.0,0.0,0.0027,-0.0006,0.0,0.0001,-0.0069,-0.0055,-0.0818
2026-07-15,69.0,71.0,68.0,70.0,42422700,0.0581,0.0,0.0014,-0.0,0.0035,-0.0015,-0.001,-0.3451,-0.0174,0.2839,0.0055,-0.0041,0.0001,0.0211,-0.0021,-0.0014,-0.268,0.0012,0.0054,0.0,-0.0041,0.0582,0.0,0.0544,0.0,0.0,0.0038,0.1761,0.0,-0.003,0.0,0.0,-0.0207,0.0,0.0,0.0,0.0018,0.0104,-0.0222,-0.0004,0.0,0.0,0.0004,0.007,-0.0001,0.0042,-0.0032,0.0001,-0.0021,0.0,0.0
2026-07-16,68.0,70.0,66.0,68.0,62145900,-0.0798,-0.0015,-0.0,0.0104,0.0027,0.0001,0.0005,-0.1235,0.0136,0.1947,0.0004,-0.229,0.0,-0.0276,0.0232,0.0089,0.1145,0.0001,0.0135,-0.0068,0.0032,0.0528,-0.0009,0.02,0.0,0.0,-0.0181,0.1325,0.0006,-0.0342,0.0018,0.0,0.0005,0.0041,0.0,0.0034,-0.0444,-0.0204,-0.0021,-0.0067,-0.0012,-0.002,-0.0003,-0.0067,-0.0,0.004,0.0,0.0,0.0,0.0,0.0
2026-07-17,67.0,70.0,67.0,68.0,33973500,0.0312,-0.0,0.0026,-0.0064,0.0034,-0.0008,0.0001,-0.0144,0.0004,0.0163,0.0544,0.1767,0.0,0.0109,0.0769,0.0234,0.0836,-0.0006,0.0037,0.0054,-0.001,-0.0074,-0.006,0.0142,0.0016,0.0,-0.0103,-0.3323,-0.0,-0.0268,-0.0693,-0.0024,-0.0503,0.005,-0.0003,0.0102,-0.0028,0.0121,-0.0017,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,71.0,72.0,67.0,67.0,89903200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,82.0,85.0,70.0,72.0,726199800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,104.0,110.0,76.0,81.0,974751400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,119.0,136.0,106.0,106.0,866675500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,127.0,133.0,102.0,116.0,640412900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
