Date,Close,High,Low,Open,Volume,CP,GR,RG,XL,IF,YP,CC,AO,KK,AT,DX,XC,AZ,IH,BK,MG,YJ,PD,DR,XA,EP,KI,MI,AI,SQ,TP,OD,QA,BQ,AK,NI,YU,ZP,YB,LG,RB,RO,DH,RX,FZ,HP,PG,BR,SS,SF,AG,RF
2026-07-13,715.0,715.0,665.0,715.0,8361700,-1.0,-0.1735,0.0,-0.1985,1.0,-0.1037,-0.4657,0.0,0.4123,-0.0024,0.0031,-0.0734,0.0095,0.0799,-0.1735,0.0543,0.14,-0.2558,0.0025,-0.1762,-0.0029,0.0,0.0,0.0951,0.0052,0.139,-0.0187,-0.0029,-0.0073,0.6288,-0.0995,0.1878,-0.0071,0.0017,-0.0015,0.0,-0.0002,-0.0185,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,775.0,785.0,700.0,715.0,12395900,0.0353,-0.5998,0.0,-0.7462,-0.1686,0.166,0.7685,-0.0459,-0.0009,-0.0014,-0.0421,-0.0623,0.092,0.0436,0.082,-0.0104,-0.449,0.0679,0.1899,-0.0012,0.0114,-0.0004,0.0,0.2005,-0.0045,-0.0096,-0.1926,-0.0004,-0.0012,1.4,-0.0094,-0.0029,0.137,0.0492,-0.5903,0.0,0.0031,-0.0028,-0.6821,0.0064,0.0239,-0.0156,0.0,0.0,0.0,0.0045,0.3088
2026-07-15,800.0,810.0,765.0,775.0,10524300,0.0331,-0.3326,0.0,-0.2816,0.0996,0.3305,-0.1651,0.0,-0.0266,0.0006,0.157,0.1689,-0.423,0.0901,-0.0098,-0.0046,0.0016,0.0238,0.0192,0.0008,0.004,0.0001,0.0,0.3189,-0.0651,0.0013,-0.0252,0.0012,0.0415,0.404,-0.0047,-0.4015,0.0579,0.0039,0.018,0.0,-0.0022,-0.0546,0.0,-0.002,-0.0199,0.0,0.0,0.0395,0.008,-0.0047,0.0
2026-07-16,790.0,810.0,715.0,805.0,12687200,0.0383,-0.0409,0.0188,0.4957,2.1,-0.5319,-1.0,0.0,-0.4825,0.0002,0.2812,-0.0017,0.1838,0.0,-0.1938,0.0512,0.0068,0.2752,-0.179,0.0009,0.0206,0.0002,0.0,0.0073,0.0469,-0.0285,0.1631,-0.0038,0.0019,-0.0634,-0.4288,-0.1997,-0.0929,0.0086,0.0051,0.0,-0.0044,-0.0071,-0.3896,-0.0004,0.0001,-0.0225,0.0121,0.0,0.0,0.0,0.0
2026-07-17,750.0,790.0,750.0,790.0,6268000,-0.2532,-0.0943,-0.0191,0.76,0.2774,0.1134,-0.1492,0.0076,0.069,0.008,0.0064,0.0111,0.0001,0.011,-0.3441,-0.0437,0.2309,0.0459,-0.0441,-0.0,0.0144,0.0011,0.075,0.0002,-0.0596,-0.0392,0.262,0.0003,0.0017,-0.7524,0.0491,-0.0008,-0.1677,-0.0386,0.0412,0.0007,0.0047,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,755.0,780.0,720.0,755.0,7289800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,765.0,770.0,740.0,760.0,6134300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,770.0,775.0,740.0,765.0,5783100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,810.0,825.0,770.0,775.0,15375200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,800.0,825.0,775.0,810.0,12009300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
