Date,Close,High,Low,Open,Volume,XC,SQ,KK,CP,PD,XL,YP,CC,FZ,MG,LG,YB,ZP,DR,BQ,GR
2026-07-13,610.0,610.0,610.0,610.0,31300,-0.0111,0.0,0.0,-0.0001,0.0,0.006,0.0122,0.0,-0.0003,0.0,-0.0001,0.0,0.0,0.0,-0.0006,-0.0061
2026-07-14,590.0,610.0,580.0,610.0,100200,0.0223,0.0,0.0,0.0,0.0009,-0.0154,0.0,0.0,0.015,-0.0228,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,580.0,610.0,545.0,610.0,214900,0.0077,0.0,0.0063,0.001,0.0121,-0.0363,0.0011,0.0,0.0027,0.0055,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,590.0,590.0,530.0,590.0,516100,0.0116,0.0,0.0605,0.0024,0.0093,0.0509,-0.0037,0.0001,0.0024,-0.0003,-0.159,-0.0002,0.025,0.0011,0.0,0.0
2026-07-17,625.0,625.0,610.0,610.0,284400,-0.0089,-0.0044,-0.0105,-0.0023,-0.019,0.0287,0.0264,0.0007,-0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,635.0,650.0,625.0,625.0,478400,,,,,,,,,,,,,,,,
2026-07-21,665.0,670.0,650.0,650.0,345800,,,,,,,,,,,,,,,,
2026-07-22,705.0,705.0,670.0,670.0,507000,,,,,,,,,,,,,,,,
2026-07-23,720.0,720.0,670.0,670.0,572400,,,,,,,,,,,,,,,,
2026-07-24,650.0,700.0,650.0,700.0,182200,,,,,,,,,,,,,,,,
