Date,Close,High,Low,Open,Volume,AK,YP,ZP,AG,NI,AZ,KZ,XC,CP,BK,PD,XL,FS,CC,YB,QA,MG,RX,OD,BB,YU,DR,RO,BQ,KK,TF,MI,IH,AP,TP,EP,KI,IF,GR,AT,AI,DH,SQ,HP
2026-07-13,635.0,675.0,610.0,675.0,699600,-0.1607,-0.0011,-0.0208,0.0,0.0001,0.0,-0.0561,0.0018,0.0037,-0.1236,-0.0003,0.0276,0.3062,-0.0178,-0.0015,0.0001,0.0,0.0,-0.0003,0.0,0.0276,0.0,0.0002,0.0,0.0158,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,635.0,655.0,620.0,645.0,563200,-0.1151,-0.0001,-0.0183,0.0,-0.0183,-0.0,-0.0536,-0.0001,-0.0152,-0.0052,-0.0013,0.0084,0.2935,-0.0608,0.0,-0.0001,0.0,0.0,-0.0129,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,635.0,655.0,620.0,650.0,965300,-0.0274,0.0,-0.0302,0.0,-0.0006,-0.0005,0.0,0.0147,0.0012,-0.0069,0.0001,-0.0131,0.3443,-0.1252,-0.0004,0.0002,0.0,-0.122,-0.0002,0.0,-0.0325,0.0,0.0,0.0003,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,660.0,675.0,635.0,635.0,996600,0.0355,-0.0035,-0.0324,0.0,-0.0603,0.0,0.0,-0.0006,-0.0265,0.0005,0.0003,-0.0231,0.3111,0.0721,-0.0013,-0.0002,-0.0015,-0.1375,-0.01,-0.1478,0.0535,-0.0,-0.0007,-0.0003,-0.0274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,705.0,710.0,645.0,660.0,320000,0.0467,-0.0003,-0.011,0.0377,-0.0015,-0.002,-0.0442,0.0011,-0.0049,-0.002,-0.0001,-0.0708,0.0276,0.0244,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,710.0,720.0,680.0,705.0,284300,0.0058,-0.0036,-0.0099,0.0,0.0,0.0,-0.0373,0.0064,-0.0004,-0.0238,-0.0006,-0.0334,0.0643,0.0203,0.0,0.0,0.0,0.0,0.0021,0.0,0.01,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,720.0,735.0,700.0,715.0,235300,0.0265,0.0013,0.0,0.0085,-0.0001,-0.0108,0.0,-0.0215,0.0001,-0.0052,0.0,0.0161,0.0553,-0.003,0.0,0.0,0.0,-0.0611,-0.0048,0.0,0.0,-0.0015,0.0,0.0,-0.0001,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.0
2026-07-22,710.0,730.0,685.0,720.0,378600,-0.0579,-0.0095,-0.0116,0.0,-0.0003,0.0,0.0,0.0077,0.0264,-0.0015,0.0004,0.0138,0.106,-0.0273,0.0001,0.0,0.0,-0.0531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072
2026-07-23,705.0,760.0,690.0,720.0,207532200,-0.1146,-0.0041,0.0,0.0,0.0341,0.0494,0.0,0.026,-0.026,-0.3244,0.0279,0.1172,0.3577,-0.1688,0.0,0.0,0.0,0.0,0.0061,0.0,0.0247,0.0007,0.0,-0.0001,-0.0001,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0002,0.0012,0.0,0.0005,-0.0088,0.0
2026-07-24,650.0,705.0,620.0,705.0,227811700,-0.0009,0.0025,-1.2,0.0,-0.0151,0.0492,0.0,-0.002,0.0024,-0.2814,0.0128,0.1947,0.9069,0.2478,0.0,0.0,-0.0001,0.0,0.0015,0.0,0.0,0.0003,0.0,-0.0004,0.0526,0.0,0.032,-0.001,0.0035,0.0047,0.0003,0.0001,-0.0,0.0001,-0.0012,0.01,0.0,0.0,0.0
