Date,Close,High,Low,Open,Volume,SQ,KK,YP,HP,BQ,CC,XL,AK,PD,XC,NI,OD,MG,DR,CP
2026-07-13,7525.0,7525.0,7475.0,7500.0,9400,0.0082,0.0045,0.0,-0.0158,0.0,0.0,-0.0,-0.0008,0.0,-0.006,0.0,0.0015,0.0,-0.0022,0.0105
2026-07-14,7550.0,7575.0,7525.0,7525.0,25000,-0.1088,0.0,0.0778,0.0,0.0,0.0,0.0196,-0.0008,0.0076,0.0143,0.0,-0.0008,0.0,0.0015,-0.0104
2026-07-15,7375.0,7550.0,7350.0,7550.0,28300,0.0926,-0.0074,-0.0775,0.0,0.0,0.0149,0.0156,-0.0022,-0.0111,0.006,-0.0007,-0.0007,-0.0288,-0.0007,0.0001
2026-07-16,7300.0,7375.0,7300.0,7375.0,13300,0.0254,-0.0337,0.0015,0.0015,-0.0007,-0.0007,0.0067,-0.0029,0.0022,0.0008,0.0,0.0,0.0,0.0,0.0
2026-07-17,7300.0,7300.0,7250.0,7300.0,3000,0.0116,-0.0007,-0.008,0.0007,-0.0022,0.0007,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,7325.0,7325.0,7300.0,7300.0,6000,,,,,,,,,,,,,,,
2026-07-21,7300.0,7325.0,7300.0,7300.0,3000,,,,,,,,,,,,,,,
2026-07-22,7275.0,7300.0,7250.0,7300.0,4600,,,,,,,,,,,,,,,
2026-07-23,7300.0,7300.0,7275.0,7300.0,6700,,,,,,,,,,,,,,,
2026-07-24,7300.0,7300.0,7275.0,7275.0,800,,,,,,,,,,,,,,,
