Date,Close,High,Low,Open,Volume,CP,GR,PD,CC,DR,XA,XL,YP,KK,AT,XC,SQ,OD,QA,BQ,NI,AZ,YB,LG,RO,DH,MG,EP,AO,ID,IN,ZP,HP,PC,YJ
2026-07-13,78.0,78.0,74.0,78.0,3845000,-0.0166,-0.0234,0.0066,0.0023,0.0008,-0.0003,0.0226,-0.0066,-0.0072,0.0001,0.0218,-0.0155,0.005,0.0001,-0.0,0.0165,0.0,-0.0142,0.0002,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,-0.0045,0.0075
2026-07-14,80.0,82.0,77.0,78.0,8056100,-0.0222,-0.0024,0.088,0.0166,0.005,-0.0016,-0.0904,0.0333,0.0316,0.0,-0.0548,0.0008,-0.0135,0.0035,-0.003,-0.0049,-0.0141,0.0168,0.0156,0.0,-0.0009,-0.0162,0.0003,0.0,-0.004,-0.0004,0.0158,0.0024,-0.0012,0.0
2026-07-15,77.0,81.0,75.0,80.0,6979900,-0.0016,0.0017,0.0331,0.0262,0.0006,0.0008,-0.0896,0.0369,-0.0461,-0.0009,-0.0059,-0.0046,0.0083,-0.0033,0.0005,0.0052,-0.0339,0.0342,-0.0,0.0001,0.0004,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,78.0,79.0,76.0,78.0,4903100,-0.0302,-0.0073,-0.002,0.1347,0.0,-0.0012,-0.1312,-0.0079,-0.0009,0.0,-0.0245,-0.0072,0.0369,0.0014,-0.0001,-0.0012,0.0008,0.0658,0.0017,0.0,-0.002,0.0,-0.0007,-0.0172,-0.0078,0.0,0.0,0.0,0.0,0.0
2026-07-17,79.0,80.0,71.0,79.0,14467700,0.0339,0.011,0.0605,0.0633,0.0,0.0003,-0.3531,-0.0267,0.048,0.0,0.0259,0.0279,0.0259,-0.0015,-0.0028,0.0059,-0.0068,0.0851,0.0038,0.0001,-0.0006,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,78.0,86.0,74.0,79.0,13511600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,79.0,79.0,75.0,78.0,9523900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,78.0,80.0,75.0,79.0,6699400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,76.0,78.0,75.0,78.0,7197800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,77.0,77.0,75.0,77.0,3911300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
