Date,Close,High,Low,Open,Volume,AK,YU,NI,PD,OD,FZ,GR,YP,SQ,XC,XL,DX,CP,HD,RO,XA,YB,LG,KK,TS,RF,DH,BQ,AZ,MG,CC,DR,AT,ZP,AI,EP,RS,IF,KI,YJ,QA,HP,TP,AO,ES,CD
2026-07-13,83.0,84.0,82.0,82.0,3107400,0.0055,-0.1237,0.0,-0.0078,-0.0002,0.0,0.0,-0.0044,0.0,-0.0484,-0.0095,0.0,-0.005,-0.0001,0.0,0.0,0.1235,0.0195,-0.0,0.0077,0.0,0.0013,0.0,-0.0001,0.0,0.0013,0.0,-0.0001,0.0,0.0,-0.001,0.0415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,82.0,83.0,82.0,83.0,2160800,0.0118,-0.0104,-0.0006,-0.0004,0.0001,0.0032,0.0017,-0.0723,0.0,0.0087,-0.0288,0.0,-0.005,0.0,-0.0001,0.0,0.041,0.0209,0.0,0.0,0.0,-0.0125,0.0,0.0,0.0009,-0.003,0.0,0.0,0.0,0.0,0.0,0.041,0.0005,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,85.0,87.0,81.0,83.0,5088800,0.0182,0.0,0.0059,-0.0021,-0.0039,0.0,0.0,-0.0419,-0.017,-0.0248,-0.1878,0.0,0.0035,-0.0,0.0003,0.0,-0.0001,0.1211,0.0,0.0311,0.087,0.0001,-0.0034,0.0,-0.0018,-0.0191,0.0,0.0,0.0,0.0053,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,84.0,85.0,83.0,85.0,4163900,0.0135,-0.0744,-900.0,0.0,-0.0001,0.0,0.0017,-0.0231,0.0,-0.0555,0.012,0.0,-0.0969,-0.0,0.0,-0.0,0.0497,0.0492,-0.0018,0.0836,0.0415,-0.0001,0.0,0.0,-0.0003,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,84.0,84.0,83.0,84.0,894800,0.0001,-0.0638,0.0,-0.0,0.0007,0.0004,0.0042,0.0363,0.0017,-0.0002,0.0112,0.0015,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,86.0,87.0,83.0,84.0,910000,0.0001,-0.0163,-0.0007,-0.0088,-0.0011,0.0,0.0017,-0.0088,0.0,-0.0022,-0.0088,0.0,-0.0183,0.0,0.0,0.0,0.0,0.0253,0.0,0.0,0.0208,0.0,0.0,0.0,0.0177,-0.0006,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,-0.0006
2026-07-21,89.0,91.0,85.0,86.0,7192100,0.0128,0.0,-0.0005,-0.0262,-0.0034,0.0,0.0009,-0.0744,-0.2217,0.0092,-0.0417,0.0,-0.0132,0.0001,0.0,0.0,0.0,-0.0033,-0.0337,0.0,0.4423,0.0133,-0.0055,0.0044,-0.0099,-0.0293,0.0,0.0,0.0,-0.001,-0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,-0.0,-0.0129,-0.0064,0.0
2026-07-22,90.0,93.0,88.0,89.0,4219200,0.0269,0.0,-0.0037,-0.0356,0.0021,0.0,0.0,-0.0526,-0.0248,-0.002,0.0289,0.0124,-0.02,0.0007,0.0,0.0,-0.0005,-0.0014,-0.0113,0.0,0.1193,0.0038,0.0,0.0072,0.0429,-0.0809,0.0,0.0,0.0,-0.0113,-0.0002,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,92.0,94.0,88.0,89.0,14798300,0.0037,0.0,0.007,-0.1246,-0.0033,0.0091,0.0,-0.0216,-0.4879,-0.0294,-0.1852,0.0,0.0227,-0.0007,-0.0014,-0.0001,-0.0009,-0.0003,-0.089,0.0,1.0,-0.0097,-0.0001,0.0005,-0.0551,0.008,-0.0037,-0.0682,0.0,0.0,-0.0004,-0.0925,-0.0037,0.1128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,88.0,93.0,88.0,93.0,11932300,0.0016,0.0,-0.0,0.094,0.0126,-0.0001,0.0,-0.0088,-0.6606,0.0031,-0.015,0.0,-0.0051,-0.0,0.0,0.0,0.0,0.6445,0.0018,0.0,0.0,0.0341,0.0,0.0006,0.0562,0.0163,0.0,0.0,0.0,0.0,-0.1759,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0
