Date,Close,High,Low,Open,Volume,XC,SQ,RO,AZ,KK,CP,AK,EP,OD,XL,YP,DH,CC,MG,TP,BQ,NI,BR,GR,PD,AG,XA,AT,YJ,HP,LG
2026-07-13,116.0,124.0,112.0,118.0,681800,0.0022,0.0059,0.0,0.0016,0.0001,0.0,0.0,0.0,0.0001,0.0139,0.0047,0.0,0.0095,0.0,-0.0513,0.0019,0.0,0.0,0.0046,0.0069,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-14,117.0,117.0,114.0,117.0,328700,-0.0075,0.0002,0.0,0.0001,0.0,0.0,0.0033,0.0,0.0001,0.0076,0.0018,0.0,-0.0,0.0,-0.0,-0.0014,0.0,0.0,0.0058,-0.006,0.0,0.0,0.0002,-0.0043,-0.0,0.0
2026-07-15,118.0,120.0,115.0,120.0,343000,0.0042,-0.0029,0.0,0.0,0.005,0.0,0.0026,0.0,0.0014,-0.0076,0.0014,0.0,-0.003,0.0,-0.0109,-0.0003,0.0006,0.0076,0.0009,0.001,0.0,-0.0,-0.0,0.0,0.0,0.0
2026-07-16,120.0,120.0,116.0,117.0,626900,-0.0033,-0.0002,0.0,-0.0023,0.0013,0.0,0.0027,0.0,-0.0002,0.0018,0.0119,0.0,0.0063,0.0,-0.0268,0.0011,0.0002,0.0078,-0.006,0.0057,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,121.0,122.0,116.0,121.0,442900,0.0013,0.0,-0.0,0.0009,0.001,0.0001,0.0034,0.0049,0.0002,0.0049,-0.0095,-0.0,-0.003,0.002,-0.0262,-0.0,-0.0001,0.0188,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,119.0,121.0,118.0,120.0,278600,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,120.0,121.0,116.0,120.0,390600,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,122.0,122.0,117.0,120.0,146800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,118.0,121.0,116.0,120.0,483800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,120.0,120.0,115.0,119.0,484500,,,,,,,,,,,,,,,,,,,,,,,,,,
