Date,Close,High,Low,Open,Volume,XC,SQ,XA,OD,XL,AZ,CC,CP,KK,NI,EP,YP,HD,PD,YU
2026-07-13,920.0,920.0,840.0,840.0,600,-0.0004,0.0,0.0,0.0005,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0
2026-07-14,1010.0,1010.0,1010.0,1010.0,2300,0.0,0.0,0.0,0.0007,-0.0001,0.0,0.0,0.0004,0.0,-0.0007,0.0,-0.0003,0.0,0.0,0.0
2026-07-15,1110.0,1110.0,1110.0,1110.0,200100,0.1483,0.0023,0.0,0.0037,0.0448,0.0,0.0038,-0.0004,0.0002,0.0021,0.0,-0.0009,0.0006,-0.0996,-0.1049
2026-07-16,1220.0,1220.0,1220.0,1220.0,127300,0.0583,-0.0026,0.0122,0.0007,0.0616,-0.0001,-0.0037,0.0005,-0.0013,-0.0024,-0.0004,-0.0013,-0.0006,-0.1209,0.0
2026-07-17,1100.0,1220.0,1100.0,1220.0,23800,0.0008,0.007,-0.0109,0.0055,-0.003,0.0001,0.001,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,990.0,990.0,990.0,990.0,28700,,,,,,,,,,,,,,,
2026-07-21,960.0,960.0,960.0,960.0,46800,,,,,,,,,,,,,,,
2026-07-22,1000.0,1000.0,960.0,960.0,3600,,,,,,,,,,,,,,,
2026-07-23,1095.0,1095.0,1000.0,1000.0,5000,,,,,,,,,,,,,,,
2026-07-24,1125.0,1125.0,1120.0,1120.0,11500,,,,,,,,,,,,,,,
