Date,Close,High,Low,Open,Volume,XA,KK,XL,CC,FS,XC,YP,PD,YB,SQ,AZ,AT,NI,HP
2026-07-13,2840.0,2840.0,2840.0,2840.0,100,,,,,,,,,,,,,,
2026-07-14,2740.0,2850.0,2680.0,2850.0,450400,-0.3105,-0.0,0.0199,0.0019,0.0,-0.0014,0.9178,0.0,0.0111,0.0011,0.0038,-0.0,0.0005,-0.6442
2026-07-15,2720.0,2780.0,2670.0,2740.0,7200,0.0,0.0,0.0092,-0.0105,0.0,-0.0008,-0.0,0.0008,0.0005,-0.0006,0.0013,0.0,0.0,0.0
2026-07-16,2750.0,2750.0,2700.0,2700.0,4000,0.0,0.0,0.0,0.0,-0.0055,-0.0041,0.0104,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2750.0,2770.0,2750.0,2770.0,800,-0.0008,0.0022,-0.0011,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2750.0,2840.0,2750.0,2750.0,4600,,,,,,,,,,,,,,
2026-07-21,2740.0,2830.0,2740.0,2830.0,13300,,,,,,,,,,,,,,
2026-07-22,2790.0,2810.0,2750.0,2780.0,1900,,,,,,,,,,,,,,
2026-07-23,2780.0,2790.0,2740.0,2790.0,20300,,,,,,,,,,,,,,
2026-07-24,2760.0,2770.0,2760.0,2770.0,600,,,,,,,,,,,,,,
