Date,Close,High,Low,Open,Volume,QA,MG,EP,AK,XA,OD,CP,AI,CC,YP,DR,RO,SQ,AG,NI,AZ,XC,BQ,AT,KK,PD,IF,XL,TP,YB,KI,DH,TF,LG,ZP,YU,HP,GR
2026-07-13,147.0,154.0,145.0,154.0,2545700,-0.0024,0.0038,0.0004,-0.0002,0.0008,0.008,0.001,0.0,0.0143,0.0082,0.0001,0.0001,-0.0218,0.0,-0.0103,0.0,-0.0003,-0.0433,-0.0,-0.0016,0.0135,0.0,0.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.0004
2026-07-14,144.0,149.0,142.0,148.0,1791000,0.0,-0.0197,0.0009,0.0004,-0.0127,0.0044,0.0044,0.0,0.0315,0.0156,0.0,0.0,-0.0056,0.0,-0.0007,0.0,0.0325,0.0183,0.0,-0.0459,-0.0107,0.0,-0.0104,0.0,-0.0027,-0.0002,0.0,0.0,0.0,0.0005,-0.0,0.0001,0.0
2026-07-15,152.0,166.0,144.0,144.0,11315800,0.0005,-0.0042,0.0078,0.0001,0.0272,-0.0061,-0.0,0.0,-0.0116,-0.0049,0.0001,0.0,0.0183,0.0299,0.0021,0.0001,0.0095,-0.0167,0.0,0.0041,-0.0098,0.0,-0.0448,0.0,0.0,-0.0014,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,146.0,154.0,146.0,154.0,2021100,0.0,0.0,0.0008,-0.0001,-0.026,0.0016,-0.0022,0.0001,0.0167,0.003,0.0002,0.0,-0.0146,0.0152,-0.0007,0.0,-0.008,0.0178,0.0015,0.0007,-0.0258,0.0,0.0201,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,153.0,160.0,148.0,149.0,6400900,0.0,0.0262,-0.0079,-0.0015,-0.0007,-0.0069,-0.0009,-0.0,-0.0876,0.0343,-0.0001,0.015,0.0118,0.0039,-0.0059,0.0005,-0.0101,-0.0031,-0.0008,0.0085,0.0177,-0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,156.0,164.0,154.0,159.0,3879000,0.0,0.0158,-0.0009,0.0,0.0,-0.0008,-0.0032,-0.0001,0.0075,0.0057,0.0002,-0.0001,-0.016,-0.006,-0.0066,0.0,0.0087,0.0063,-0.0014,-0.0244,-0.041,0.0,0.0555,0.0,0.0003,0.0016,0.0,0.0,-0.001,0.0,0.0,900.0,0.0
2026-07-21,157.0,160.0,151.0,160.0,1449000,-0.0005,0.0,-0.0002,0.0,0.0,0.0024,0.0178,-0.0001,0.001,0.0133,-0.0001,-0.0001,-0.0279,0.0,-0.0037,0.0008,0.0055,-0.0066,0.0,-0.0199,0.0028,0.0,0.0037,0.0,0.0057,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,155.0,159.0,153.0,159.0,877100,0.0,0.0,-0.0006,0.0,0.0,-0.0004,0.0017,0.0,-0.0061,0.0147,0.0,-0.0146,0.0036,0.006,-0.0005,0.0,0.005,0.0003,0.0,-0.004,0.0053,0.0,-0.0172,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0
2026-07-23,153.0,159.0,152.0,156.0,2014100,-0.0039,-0.042,0.0,0.0,0.0,0.0459,0.0045,-0.0001,0.024,-0.0195,0.0,0.0,-0.0475,0.0,0.0015,0.0,0.0065,0.0139,0.0,-0.0403,0.004,0.0,0.0409,0.0,0.0,0.0077,0.0103,0.0,0.0,0.0,0.0,-0.006,0.0002
2026-07-24,150.0,156.0,145.0,155.0,1140100,0.0,0.0,0.0023,0.0,0.0,0.0206,0.0002,0.0,-0.0052,0.0054,0.0005,0.0,-0.0025,0.0001,-0.009,0.009,-0.0076,-0.017,0.0,0.0015,-0.0043,0.0,0.001,0.0,0.0012,0.0003,0.0036,0.0,0.0,0.0,0.0,-0.0,0.0
