Date,Close,High,Low,Open,Volume,JB,CD,ZR,GR,RG,XL,CC,YP,IF,KK,FS,DX,XC,RX,AZ,HP,BK,RF,MG,BB,YJ,PD,DR,XA,EP,KI,MI,SQ,TP,OD,QA,BQ,AK,NI,YU,PG,YB,ZP,LG,BR,HD,ID,RO,DH,CP,PP,SH,AG,ES,AI,KZ,AT,PC,SA,RB,PF,AO,BS,SS,LS,RS,AR
2026-07-13,1530.0,1530.0,1470.0,1470.0,44784100,0.0,0.084,0.4575,-1.7,0.0,0.8231,-3.7,0.8419,0.0,-0.1204,0.0,0.1011,0.4462,0.0,0.0193,0.0515,-1.9,0.0,-0.012,-2.0,-0.0589,0.0,-1.0,0.225,0.0,0.0702,0.0,-3.3,7.4,-0.7862,0.0054,-0.1262,-1.7,2.1,11.0,0.0,-0.3426,-4.2,0.2199,0.0,1.7,0.0,0.4411,-0.3721,-2.8,0.0005,0.0,-0.3939,-0.038,0.0413,-0.4565,-0.1576,0.0,0.0,-0.0122,0.0,0.0015,0.0906,-0.2305,-0.2991,-0.0375,-0.1829
2026-07-14,1490.0,1535.0,1490.0,1535.0,42209000,0.0,0.0,-0.1152,-0.5877,0.1525,6.2,4.7,1.6,0.0,0.7895,0.299,0.0867,1.4,0.0,0.305,0.7363,-2.9,0.0,0.0,-10.4,0.0,6.6,4.8,0.0,0.6576,0.0,0.0,0.0734,0.3567,1.4,0.0,0.0,-0.0117,1.2,-10.8,0.0,0.137,-6.8,0.1369,0.0,1.6,0.0,0.0,0.5033,-0.1391,0.0,0.1338,-0.3755,0.0,0.0,-2.7,0.0,0.0598,0.0,0.0,0.0,0.1515,0.4075,0.0,0.0,0.0,0.0
2026-07-15,1490.0,1510.0,1475.0,1490.0,23702200,0.0,0.3171,0.0,0.6596,-0.006,0.8062,2.3,0.2089,0.0151,-0.1513,0.4485,0.0442,-0.1182,-4.0,0.4744,-0.069,0.7293,0.0,0.0224,-2.3,0.1006,0.4338,-0.3073,0.0,0.1021,0.0,0.0,0.3675,0.0907,0.4553,0.0,0.2567,-0.2718,1.3,0.7085,-0.0001,0.2106,-0.9531,0.0,0.8925,-2.2,0.0,-0.0026,0.6185,-0.0189,0.0,0.0,0.045,0.0,-0.1425,-0.452,-0.0216,0.0093,-0.6708,-0.0001,-0.0223,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1490.0,1505.0,1480.0,1490.0,30521300,0.0,0.1384,0.299,0.1281,0.0,4.3,3.9,1.5,0.0,0.8241,0.0,0.0274,0.3276,-4.0,-0.0424,0.0,4.2,0.0,0.0537,-9.1,-0.0285,-0.2495,1.2,0.0352,0.0983,0.0,0.0,-2.0,1.4,0.2288,0.0,-0.0443,-1.9,-0.3539,1.7,0.0,0.0,0.6648,0.0,1.6,0.0699,0.0,-0.0431,0.1048,1.5,0.0356,-0.0373,-4.0,0.0298,0.3112,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1500.0,1510.0,1490.0,1500.0,40701800,-0.0002,-0.064,-0.302,0.3766,1.5,2.4,3.2,2.0,-0.0759,0.0905,0.7514,-0.1706,0.628,3.7,0.1713,-0.0011,10.1,-1.1,0.0898,-8.5,0.2357,-0.286,1.5,-0.1585,0.202,-0.0732,0.0451,0.6814,-15.0,0.5925,0.057,-0.0216,-5.3,0.8767,3.6,0.075,0.3505,-4.2,-0.004,3.3,-1.2,0.0376,-0.0009,-0.3485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1500.0,1525.0,1500.0,1500.0,39723300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1540.0,1545.0,1500.0,1510.0,48584200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1535.0,1570.0,1520.0,1540.0,51337300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1550.0,1580.0,1540.0,1540.0,41571400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1515.0,1550.0,1500.0,1550.0,32459900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
