Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,DR,SQ,YP,XC,LG,KK,XL,AT,EP,PD,BQ,AZ,KI,CC,AO,CP,RO,HP,FS,YJ,ZP,TP,DH,GR,QA,SS,ES,YU,TF,AI,IF,PC,MG,SH,LS,BK,CD,SF,AR
2026-07-13,101.0,103.0,100.0,101.0,4448200,-0.0014,0.0,-0.0217,0.0,-0.0008,0.0053,0.0135,-0.0084,-0.0313,0.0012,-0.0326,-0.0001,0.0001,0.0026,0.0,0.0858,0.0,-0.0291,0.0,-0.0002,0.0,0.0,0.0,0.0008,0.0,0.0,-0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151,0.0,0.0,0.0
2026-07-14,111.0,113.0,102.0,102.0,50671200,-0.0051,0.0137,0.0019,0.0117,0.0084,-0.1202,-0.1566,0.0508,-0.0294,0.033,0.4222,-0.0029,-0.1593,0.0155,0.0323,-0.0897,-0.0029,0.0249,0.0049,-0.0432,0.0114,-0.0011,-0.0003,-0.0006,-0.0003,-0.0002,-0.0012,-0.0165,0.0003,-0.0032,0.0,0.0078,0.0,-0.0012,0.0,-0.0033,0.0172,-0.0021,-0.0001,-0.0153,-0.0,-0.0011,-0.0
2026-07-15,107.0,118.0,107.0,111.0,23408200,0.0107,0.005,0.0078,-0.0088,0.0047,0.0718,0.0761,0.0135,-0.0117,0.0246,-0.3412,0.0047,0.0229,-0.0158,0.0975,0.0118,0.0029,0.0355,0.004,-0.0035,0.0005,0.0189,0.0,0.0011,0.0,0.0,0.0001,-0.0343,0.005,0.0054,0.0,-0.0023,0.0015,0.0,-0.0028,0.0064,-0.0122,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,109.0,109.0,106.0,107.0,3922200,0.0,-0.0028,0.0113,-0.0011,100.0,0.0288,-0.0101,-0.0646,0.0005,0.0318,-0.0443,0.0,0.0,-0.0051,-0.0013,0.0033,0.0002,-0.0002,-0.0053,0.0151,-0.0002,-0.0081,-0.0003,-0.0021,-0.0003,-0.0003,0.0534,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,108.0,110.0,107.0,109.0,3748700,0.0023,-0.0068,-0.0004,-0.0006,0.0067,0.0,0.0443,0.0098,0.0,-0.0155,-0.1421,-0.005,-0.0028,0.0654,0.0126,-0.0,-0.0001,0.0257,-0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,110.0,111.0,107.0,109.0,5464100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,110.0,111.0,109.0,110.0,4837400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,110.0,115.0,109.0,111.0,6122600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,111.0,114.0,109.0,109.0,8173900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,109.0,111.0,107.0,111.0,4902000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
