Date,Close,High,Low,Open,Volume,HD,XL,PD,BB,PF,YU,XC,EP,CP,SQ,LS,MG,CD,TP,HP,LG,RO,AO,KI,DX,XA,QA,PG,GR,YB,FZ,SH,CC,IF,KK,DH,AZ,NI,BQ,BK,IN,AG,AI,ES,AT,FS,YJ,IH,YP,ZP,AK,BR,PO,OD,DR,SF,MI,RG,RS,ZR,PC,RF,IU,DU,DP,BS,RX,KZ,RB,TF,SS,EL
2026-07-13,1890.0,1890.0,1790.0,1805.0,242053400,-7.0,-19.9,-13.1,0.0,-1.9,0.0535,-3.2,1.8,-2.6,-0.7385,-0.6768,11.0,-7.4,4.1,0.0,3.3,-0.4317,-4.4,1.9,2.0,-1.2,0.0,0.0054,2.9,0.0,0.0,0.0161,0.0,12.5,-1.5,-0.4428,0.0,-0.8934,0.6671,24.6,-1.1,0.8661,-0.6948,0.0,0.0,-1.6,-2.4,0.0,-14.6,-18.0,53.1,0.0,0.0546,-5.6,-1.4,0.0182,0.756,0.0,-1.8,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,0.0,1.1,0.0004,0.0209,-6.7,0.8868
2026-07-14,1880.0,2000.0,1855.0,1920.0,736711100,-0.341,-15.5,10.0,-31.7,-0.11,7.9,6.0,-3.6,5.2,-66.1,0.8127,-11.0,-2.8,-12.7,-0.9791,4.2,0.0,1.8,0.0,-0.3657,3.1,0.0,-0.4155,7.2,2.5,-1.4,0.0,-20.1,11.0,1.1,1.4,-92.4,39.6,6.7,125.6,-1.6,-0.7245,4.8,0.0,6.7,-0.0521,0.9045,0.0,-5.2,-2.2,0.909,0.0,-0.051,8.6,6.5,0.0,-0.7692,0.0,-0.0497,0.926,-0.293,-1.8,0.0,0.0,0.0,0.0,3.3,3.0,0.0,0.0,0.0,0.0
2026-07-15,1910.0,1955.0,1905.0,1910.0,293212000,7.7,-13.0,0.0,1.9,0.0,-19.4,-2.4,0.3763,-21.7,-3.7,-0.377,-0.4585,3.7,-0.5165,0.0,-6.2,0.5836,0.1459,-3.7,0.0,-1.8,0.0086,-0.7357,-2.3,-3.1,0.1593,-1.3,28.3,3.8,-2.5,0.0,2.0,-0.2411,-4.1,23.0,0.0,-2.1,-1.7,0.0,0.2218,0.0,0.0,-0.2003,7.4,-0.665,20.5,0.0,0.3639,-6.5,0.1115,0.0,0.6408,0.0,0.0,0.0,0.0261,0.0,-0.6519,0.0031,0.097,-0.6892,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1930.0,1960.0,1890.0,1925.0,271533700,1.5,-10.0,-2.2,1.6,0.0,-24.5,-8.2,3.0,1.9,10.4,0.61,10.6,-5.8,-3.9,-0.2471,-8.5,-0.6255,2.4,1.3,0.5127,0.0,0.0,0.0,-0.4794,2.3,0.0,0.5773,17.8,-3.6,-5.8,-0.9882,1.0,-1.4,0.5271,12.0,0.0,0.8503,-0.7589,-0.0222,0.0,-0.995,0.4982,1.0,-10.8,-21.2,31.4,-1.4,0.5785,2.4,1.0,-0.1143,0.4668,-0.0025,-0.0098,-1.1,-0.0796,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1945.0,1980.0,1895.0,1935.0,320340100,-1.6,0.4034,0.1862,-2.7,-1.9,-9.8,1.6,-2.4,6.0,3.2,0.1473,-5.7,-0.576,2.8,1.4,0.1805,0.1613,-2.3,-7.9,-0.7065,0.5148,0.0179,-2.0,3.7,-1.5,-0.1043,0.5941,22.9,-0.1255,0.1924,-0.1394,5.0,5.7,2.0,21.9,-0.286,-0.2857,-0.1521,-1.0,0.89,0.0845,-1.4,4.1,15.2,-35.7,-15.7,-3.9,-0.2852,-1.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2120.0,2130.0,1955.0,1955.0,805070400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2250.0,2300.0,2080.0,2150.0,1022958500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2280.0,2350.0,2190.0,2270.0,735480100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2170.0,2370.0,2160.0,2290.0,741912300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2100.0,2140.0,2000.0,2110.0,595850600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
