Date,Close,High,Low,Open,Volume,CP,GR,XL,IF,YP,CC,AO,KK,FS,AT,DX,SH,XC,AZ,HP,PC,BK,MG,YJ,PD,DR,XA,EP,KI,AG,SQ,TP,OD,QA,BQ,AK,NI,YU,ZP,LG,HD,RO,DH,CD,EL,AI,YB,IH,DU,PO,AR,JB,RS,LS,RF
2026-07-13,540.0,550.0,530.0,545.0,6431100,0.008,0.6523,0.1954,0.0,0.2182,-0.1388,0.0,-0.0117,0.0,-0.013,0.0,-0.0006,0.0575,-0.0083,0.0109,0.0,-0.188,0.0,0.0,-0.3809,0.0031,0.0001,-0.0374,0.0028,-0.0109,0.0292,-0.1807,0.0247,0.0,0.0006,-0.0252,0.0484,0.1499,-0.4636,0.0162,0.0047,-0.0006,0.0045,-0.0112,0.0,0.0,0.0054,0.0,0.0,0.0,0.0163,0.0273,-0.0082,0.0012,0.0027
2026-07-14,550.0,550.0,540.0,545.0,7969100,-0.0041,0.0444,0.1457,0.0,-0.3667,0.4426,0.0,0.4768,0.0,0.0008,-0.0011,-0.0006,-0.1636,0.0344,0.0447,0.0,-0.3823,0.0127,0.0,0.0822,-0.0091,0.0,0.0551,-0.0012,0.0,0.1257,-0.0116,-0.1023,-0.0055,-0.2122,-0.095,0.2624,-0.2741,-0.6046,-0.0141,-0.0047,0.0055,-0.003,-0.0003,0.0,-0.0164,-0.0058,0.0,0.0,0.0,0.545,0.0,0.0,0.0,0.0
2026-07-15,545.0,550.0,540.0,550.0,3676700,0.0021,0.006,0.2478,0.0001,-0.0096,0.0209,0.0,-0.0107,0.0,0.0002,0.0,-0.0006,-0.024,0.0,0.0003,0.0,-0.0616,0.0,-0.1102,0.0051,-0.0021,0.0,0.0531,0.0002,0.0,0.0616,-0.0469,-0.0464,0.0,-0.0034,-0.1664,0.113,0.0097,-0.0565,-0.001,0.0021,-0.0161,0.0115,0.0162,0.0,0.0,0.0001,0.0,0.0001,0.0054,0.0,0.0,0.0,0.0,0.0
2026-07-16,555.0,555.0,540.0,550.0,6929300,-0.0224,-0.4899,-0.0615,0.0025,-0.3313,0.358,-0.0001,0.0286,0.0,0.0004,0.0,-0.0006,-0.0077,-0.0556,-0.0451,0.0,0.0682,0.0017,0.0,0.2506,0.0685,0.0,-0.1797,0.0,-0.0062,0.0352,0.0002,-0.0372,0.0002,0.0168,-0.1413,0.0236,-0.0029,0.0435,0.0328,0.0018,0.0,-0.0757,0.005,-0.0275,0.549,-0.0001,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,550.0,555.0,545.0,555.0,6447500,0.0192,-0.2636,0.5306,0.0014,0.1222,-0.157,0.0008,0.4831,-0.0006,-0.0016,-0.0011,-0.0006,-0.0064,-0.0054,0.0105,0.0001,-0.9021,-0.0003,-0.0006,0.2605,0.0009,0.0131,0.0057,-0.0001,0.0004,0.028,0.0055,0.1175,0.0006,0.0024,-0.2385,0.0052,0.055,0.0182,0.0025,0.0009,-0.0003,-0.1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,560.0,560.0,550.0,550.0,8155900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,565.0,570.0,560.0,560.0,9058400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,560.0,570.0,555.0,565.0,11549200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,590.0,605.0,560.0,560.0,41798300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,585.0,600.0,570.0,595.0,19792700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
