Date,Close,High,Low,Open,Volume,NI,RO,CC,OD,QA,SQ,YP,YU,HP,XC,LG,KK,XL,AK,AT,ZP,CD,EP,TP,PD,IF,AZ,KI,MG,AR,GR,HD,CP,BK,XA,YB,PG,DH,BQ,PO,DX,DR,YJ,SF,AG
2026-07-13,146.0,147.0,144.0,147.0,697100,0.0027,0.0001,-0.017,0.0007,0.0,0.0003,-0.0,0.0,0.0073,0.0088,0.0,0.0,-0.0112,0.0027,-0.0004,0.0,0.0,-0.0002,0.0,0.0215,0.0,-0.0003,0.0,0.0,0.0,-0.0014,0.0,-0.0037,0.0,0.0,-0.0061,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0,0.0,-0.0023
2026-07-14,148.0,150.0,145.0,147.0,2851900,0.0052,-0.0004,-0.0383,0.0006,0.0,0.004,0.005,0.0,0.0,-0.01,0.0188,0.0136,-0.001,0.0103,-0.0034,0.0,0.0,0.0022,0.0005,0.0044,0.0,0.0,-0.0662,0.0,0.0,-0.0074,0.0,0.0211,0.0052,-0.0,0.0047,0.0,0.0297,0.0,-0.0001,0.0001,0.0001,0.0,0.0015,0.0
2026-07-15,154.0,159.0,150.0,150.0,10348100,-0.0009,-0.0001,-0.1183,0.0063,0.0001,0.0025,0.166,0.0,-0.0307,0.0153,-0.0148,0.0563,0.2984,-0.0092,-0.0044,0.0015,0.0139,0.0065,0.0,0.0389,0.0002,0.0001,-0.0001,-0.0031,0.0077,0.001,-0.0007,-0.1663,0.0,0.0199,-0.0,0.0,0.0004,0.0005,0.0,0.0202,0.0015,-0.3085,0.0,0.0
2026-07-16,153.0,155.0,152.0,154.0,3724600,0.0179,-0.0,0.0263,0.0001,0.0005,0.0031,-0.0176,0.0,0.0156,0.0193,0.0036,-0.0488,-0.0079,0.0004,0.0,0.0,-0.002,0.0016,0.0,-0.0002,-0.0002,0.0103,0.0,-0.0005,0.0,0.0025,0.153,0.0126,0.0004,-0.153,-0.0271,-0.0,0.0002,-0.0024,-0.0002,-0.0077,0.0,0.0,0.0,0.0
2026-07-17,154.0,156.0,152.0,155.0,2232600,0.0004,0.0002,-0.081,0.0162,0.0026,-0.0,-0.0286,0.0,-0.001,0.0065,-0.0103,0.0018,0.0166,0.0049,-0.0006,0.0009,0.0046,0.0017,-0.0007,-0.0245,0.0002,-0.0001,0.0005,-0.0026,-0.0077,0.0047,0.0008,0.0945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,158.0,171.0,153.0,154.0,20919300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,157.0,160.0,154.0,156.0,5960300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,157.0,158.0,155.0,158.0,2201300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,155.0,160.0,155.0,157.0,6327000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,154.0,157.0,151.0,156.0,2722900,0.0,0.0,-0.0417,0.0,0.0,0.0,0.0473,0.0,0.0,0.0,-0.0154,0.0,-0.0609,0.0242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.0536,0.0,-0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
