Date,Close,High,Low,Open,Volume,YP,XL,PD,LG,XC,TP,QA,RF,SQ,II,ZP,CC,NI,OD,KK,EP,IH
2026-07-13,560.0,585.0,550.0,570.0,27000,0.0,0.0023,-0.0016,0.0002,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,-0.0001,0.0001,0.0,0.0,-0.0002
2026-07-14,565.0,575.0,535.0,575.0,39200,0.0,-0.0074,0.01,-0.0008,0.0002,0.0,0.0,0.0,-0.0001,0.0,-0.0001,-0.002,0.0,0.0001,0.0001,-0.0,0.0
2026-07-15,570.0,570.0,550.0,560.0,90600,0.0017,0.0046,0.0,-0.0408,0.0166,0.0,0.0,0.008,0.0083,0.0,0.0011,-0.0001,0.0003,0.0004,-0.0001,0.0,0.0
2026-07-16,565.0,570.0,555.0,565.0,53500,0.0,-0.0045,0.0003,-0.0002,-0.0039,-0.0143,-0.0001,0.0221,0.0016,-0.0001,-0.0011,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-17,560.0,575.0,555.0,555.0,6000,-0.0002,-0.0009,-0.0001,-0.0003,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,560.0,575.0,560.0,560.0,26000,,,,,,,,,,,,,,,,,
2026-07-21,560.0,565.0,555.0,560.0,246100,,,,,,,,,,,,,,,,,
2026-07-22,565.0,570.0,560.0,560.0,11400,,,,,,,,,,,,,,,,,
2026-07-23,585.0,605.0,575.0,575.0,1380800,,,,,,,,,,,,,,,,,
2026-07-24,580.0,590.0,565.0,590.0,53100,,,,,,,,,,,,,,,,,
