Date,Close,High,Low,Open,Volume,YB,PD,XL,NI,PC,XC,YP,AT,DR
2026-07-13,484.0,488.0,472.0,488.0,2200,0.0002,0.0,-0.0,0.0,0.0,-0.0004,0.0,0.0,0.0002
2026-07-14,484.0,484.0,484.0,484.0,0,,,,,,,,,
2026-07-15,484.0,484.0,472.0,472.0,1000,0.0002,0.0,-0.0001,-0.0001,0.0,0.0,0.0001,0.0,-0.0002
2026-07-16,482.0,482.0,480.0,480.0,900,0.0,0.0,-0.0,0.0,0.0,0.0002,-0.0002,0.0,0.0
2026-07-17,498.0,498.0,472.0,472.0,5500,0.002,-0.0005,-0.0004,-0.001,-0.0,-0.0,0.0,0.0,0.0
2026-07-20,498.0,500.0,498.0,500.0,200,,,,,,,,,
2026-07-21,500.0,500.0,460.0,500.0,42200,,,,,,,,,
2026-07-22,486.0,492.0,462.0,482.0,21200,,,,,,,,,
2026-07-23,486.0,486.0,482.0,484.0,9800,,,,,,,,,
2026-07-24,484.0,486.0,474.0,486.0,600,,,,,,,,,
