Date,Close,High,Low,Open,Volume,ZP,EP,NI,CC,PD,BQ,OD,GR,YP,KK,SQ,XC,LG,HD,XL,YU,KI,CP,RO,DH,IF,AZ,DR,FZ,SF,GI,RF
2026-07-13,160.0,160.0,158.0,160.0,145600,0.0016,0.0015,-0.0002,-0.0091,-0.0,0.0,-0.002,0.0,-0.0055,0.0,0.0089,0.0006,0.0,0.0,-0.003,-0.0001,0.0,-0.0009,0.0,0.0,0.0,0.0079,0.0,0.0,0.0003,0.0,0.0
2026-07-14,158.0,161.0,157.0,160.0,180400,-0.0,0.001,0.0001,-0.002,0.0022,0.0,0.0,0.0,-0.0003,0.0001,0.0,0.0,0.0,0.0,-0.0011,-0.0,0.0,-0.0015,0.0,0.0,0.0,0.0077,0.0,-0.0063,0.0,0.0,0.0
2026-07-15,162.0,162.0,160.0,160.0,231800,0.0,0.0009,0.0,-0.0032,0.0105,0.0001,0.0,0.0,0.0013,-0.0006,0.0231,-0.0001,0.0,-0.0,-0.013,-0.009,0.0,0.0,0.0001,-0.008,-0.0003,-0.0,-0.0016,0.0,0.0,0.0,0.0
2026-07-16,162.0,162.0,160.0,162.0,333700,0.0,0.0013,0.0001,0.0048,0.0,0.0,0.0002,0.0,0.0,-0.0153,0.0407,-0.001,0.0,-800.0,-0.0068,-0.0071,-0.0161,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,164.0,166.0,162.0,162.0,346300,0.0016,0.0041,0.0064,-0.0103,0.0001,-0.0001,-0.0014,0.0008,0.0263,-0.0001,-0.0,0.0051,0.0,0.0,-0.0158,-0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,162.0,164.0,162.0,164.0,342400,0.0,0.0018,0.0056,-0.0016,0.0009,0.0,-0.0001,0.0002,-0.0242,-0.0,0.0,0.0189,0.0,-0.0,-0.0145,0.0,0.0,0.0,-0.0001,0.0003,0.0,0.0097,0.0029,0.0,0.0,0.0,0.0
2026-07-21,162.0,165.0,162.0,165.0,46500,0.0,0.0028,0.0036,-0.0003,-0.0002,0.0,-0.0,0.0002,-0.0035,0.0,-0.0,0.0002,0.0,0.0,-0.0006,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0,0.0
2026-07-22,165.0,165.0,160.0,162.0,272500,0.0,0.001,0.0002,-0.0065,0.0002,-0.0,0.0,-0.0013,-0.0169,-0.0032,0.0328,-0.0004,0.0,0.0001,-0.0091,-0.0012,0.0,0.0,0.0,0.0012,0.0,0.0012,0.0021,0.0,-0.0003,0.0,0.0
2026-07-23,164.0,167.0,162.0,165.0,948300,-0.0298,0.0009,0.01,-0.001,-0.0004,0.0,-0.0084,0.0,-0.015,-0.0001,-0.0261,-0.0161,0.0,-900.0,-0.0064,-0.01,0.0,0.0001,0.0,-0.0163,0.0,0.083,-0.0011,0.0,0.0,0.0,0.0366
2026-07-24,166.0,170.0,158.0,165.0,1274000,-0.0287,0.0036,0.0287,-0.0006,0.0017,0.0,-0.0004,0.0,-0.039,0.0291,-0.0031,-0.0075,0.0019,-0.0001,-0.0021,-0.0085,0.0,0.0001,0.0,0.0031,0.0,0.025,-0.0024,-0.0008,0.0,0.0,0.0
