Date,Close,High,Low,Open,Volume,XC,YU,QA,YJ,LG,RO,SQ,AZ,XA,KK,CP,ZP,AT,KI,AK,BK,EP,XL,SH,OD,AG,CC,YP,DX,TP,YB,AR,NI,BQ,IF,GR,HP,HD,PD,DR,KZ,PF,DH,MG,ES,IU,AO,YO,AI,LS,FZ,ID,BB,PG,BR
2026-07-13,680.0,690.0,675.0,690.0,7002400,-0.0178,0.0,500.0,0.0007,-0.0001,-0.0005,-0.1308,0.0558,0.0627,-0.0037,-0.0119,0.8191,0.0,-0.121,0.4337,-0.008,0.0234,-0.0471,0.034,0.0215,0.081,0.4763,-0.512,-1.8,-0.021,0.0,0.0,0.0192,-0.1497,-0.2595,-0.0063,-0.0278,-0.0,0.3655,-0.0,0.0,0.0,-0.0006,-0.035,0.0,0.0,0.0,0.0,0.0,-0.0069,0.0,0.0,0.8771,-0.0792,-0.0001
2026-07-14,685.0,700.0,680.0,680.0,6143800,0.0007,0.1227,0.0162,0.0,0.0016,0.0105,-0.158,0.2174,-0.3396,-0.3956,-0.0254,0.1417,0.0101,-0.0088,0.2617,0.553,-0.1022,-0.2209,0.0,0.417,-0.0106,0.1823,-0.2521,-0.0182,0.0064,-0.0676,0.0,0.0264,-0.0299,0.0,-0.0243,0.0314,-0.3314,0.0409,0.0007,0.0,0.0,-0.0676,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0046,0.0069,0.0,0.0,0.0
2026-07-15,695.0,700.0,685.0,685.0,7528300,-0.0397,1.8,0.001,0.0,-0.0284,-0.0003,-0.0371,0.9905,-0.2032,-0.1039,-0.0066,-0.0233,-0.0019,0.0012,0.1774,-0.2074,-0.0044,-0.0296,0.0,-0.4187,0.0001,0.1954,-0.256,-1.4,0.0106,0.0036,0.0,0.0257,-0.0173,-0.2055,-0.1801,-0.0137,-0.0146,0.0662,-0.0052,0.0,0.0,-0.0914,0.0,0.0,0.0,-0.0105,-0.0017,-0.0348,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,690.0,695.0,685.0,695.0,12868800,0.0444,2.7,0.0,0.0,0.0014,-0.0004,0.3831,0.0662,0.573,-0.0232,-2.9,-0.2665,0.0001,-0.0008,0.4418,0.494,0.0247,0.0488,1.7,0.0076,0.0276,0.1044,-0.164,0.0,0.0035,0.0071,0.0,0.0429,-1.7,0.0,-0.1817,-0.0006,0.0091,-0.2266,0.0207,-0.4136,-0.69,-0.0579,-0.0005,-0.0045,0.0124,-0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,690.0,700.0,685.0,690.0,7664900,0.0603,1.7,0.0101,0.0069,0.0086,0.0062,-0.0441,0.0139,-0.1941,0.018,0.0022,-0.1203,-0.0001,0.0003,0.0227,0.1971,0.0009,0.3162,0.007,-0.346,-0.0278,0.544,-1.0,-0.0072,0.0328,-0.0143,-0.0003,0.3707,-1.2,-0.069,-0.3474,0.0026,0.0098,0.0804,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,720.0,720.0,690.0,690.0,16040600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,710.0,725.0,705.0,720.0,5768200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,720.0,730.0,705.0,715.0,14141400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,725.0,735.0,715.0,725.0,15563800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,720.0,735.0,715.0,725.0,23696200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
