Date,Close,High,Low,Open,Volume,NI,OD,YB,QA,DR,SQ,YP,YU,XC,KK,XL,AT,YJ,EP,TP,DH,PD,BQ,KI,MG,MU,GR,CC,FZ,CP,RO,RB,LG,AI,AZ,IF,DX,XA,HP,AG,GI,ZP,CD,IU,JB,PI,SF,AK,IH,AO,SH,DU,PC,HD,IN,PO,SA,LS,ID
2026-07-13,52.0,52.0,50.0,51.0,13211100,0.0049,0.0066,-0.0194,0.0,0.0,0.0194,0.0782,0.0002,-0.0213,0.0026,-0.0765,-0.0,0.0,0.0005,0.0,-0.0056,0.1156,-0.0002,0.0,0.0,0.0795,0.0014,-0.048,0.0,-0.0675,0.0,-0.0008,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,52.0,52.0,51.0,52.0,5617400,-0.0029,-0.0013,0.0002,0.0,-0.0003,-0.013,0.0549,0.0,-0.0012,-0.0049,0.0325,-0.0,0.0,0.0026,0.0,-0.002,0.0001,0.0007,-0.0022,0.0,-0.0827,-0.0041,-0.0293,0.0,0.0673,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,-0.0036,-0.0104,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,52.0,52.0,50.0,51.0,8308900,0.0019,0.0067,0.019,0.0003,0.0005,0.0142,0.0238,0.0002,-0.0064,0.0,-0.1258,-0.0005,0.0,0.0127,0.0,0.0255,0.013,-0.0203,0.0001,0.0,-0.0,0.0,0.0791,100.0,-0.0347,0.0,0.0013,0.0,0.0,-0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,52.0,52.0,50.0,52.0,11894900,0.0052,-0.0018,-0.0046,0.0,0.0,0.0045,0.1148,0.0,-0.0338,-0.0153,-0.1421,0.0025,0.0,0.0016,0.0,0.1376,0.0545,-0.0008,0.0,0.0,0.0149,0.0,-0.1642,0.0,0.0253,0.0002,-0.0013,-0.0,0.0015,0.0061,-0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,51.0,52.0,50.0,51.0,6080300,0.001,0.0072,0.022,0.0001,-0.0046,0.0009,-0.0588,-0.0001,0.0248,-0.0,0.0103,0.0,0.0,-0.0022,-0.0003,0.0015,0.0232,0.0005,0.0001,-0.0254,-0.0062,0.0052,0.0074,-0.0,-0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,52.0,55.0,50.0,51.0,92598500,0.0291,0.0346,0.004,0.0027,0.0,-0.014,-0.0383,-0.0045,-0.0111,-0.0015,-0.0028,-0.0632,-0.0001,-0.0835,0.0002,-0.0746,0.0512,0.4713,-0.0002,0.0785,-0.0086,0.0074,-0.001,-0.0,-0.404,0.0,0.0,0.156,-0.0152,-0.1444,-0.0001,0.0,0.0406,0.0031,0.0,-0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,-0.0265
2026-07-21,53.0,54.0,52.0,52.0,33837600,0.0068,-0.0503,0.0093,0.0,0.0,-0.0,0.0778,0.0,-0.0544,0.0052,0.0836,0.001,0.0,-0.2729,0.0,0.0245,-0.0,0.1712,-0.0002,-0.0103,-0.0008,0.0052,-0.0113,0.0,0.0354,-0.0,-0.0,-0.0026,0.0053,-0.0259,-0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0026,0.0
2026-07-22,53.0,56.0,51.0,53.0,93142500,0.0255,0.0139,0.1283,0.0042,-0.0115,0.0215,0.1935,-0.0008,0.0406,0.0221,1.2,0.006,0.0002,0.0241,-0.0014,0.078,0.1289,-0.737,0.0015,0.0378,0.0,0.0292,0.0266,0.0,0.1495,-0.0,0.0,0.0151,0.0128,-0.7585,-0.0008,0.0,-0.0263,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0016,0.0,-0.0002,0.0,0.0,-0.27,-0.2896,-0.0169,0.0005,0.0,-300.0,0.0005,0.0011,0.0,0.0
2026-07-23,54.0,58.0,52.0,53.0,330257900,0.1246,0.16,-0.1374,-0.0024,0.0474,-0.0852,-0.1329,-0.0036,0.5592,0.0603,1.0,0.0076,0.0017,-0.0108,-0.0005,0.0564,-0.0684,-0.1238,-0.0003,-0.0815,0.0,-0.0127,0.2211,-0.0003,-0.2489,0.0003,0.0,-0.4725,-0.0201,-0.0523,0.0056,-0.0008,0.1726,-0.0034,0.0447,0.0,0.0569,0.0,-0.215,-0.0017,0.0,0.0005,0.0,-0.0017,-0.4309,-0.168,-0.27,0.0006,0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-24,52.0,54.0,51.0,54.0,58527400,0.0299,0.0684,-0.0198,0.0021,-0.0137,0.0341,0.2145,0.0,0.2668,0.0124,-1.1,0.0228,0.0005,0.0193,0.0,-0.0027,-0.0304,0.0348,0.0,0.1417,0.1088,0.0268,0.056,0.0,-0.0896,0.051,-0.0002,0.13,0.034,-0.0834,0.0,-0.0,0.0218,0.0,0.0,0.0,0.0274,0.0,0.0,0.0026,0.0052,0.0047,-0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
