Date,Close,High,Low,Open,Volume,QA,XC,SQ,AZ,AT,OD,DX,XL,YP,DH,CC,MG,TP,NI,BQ,HD,PD,YJ,KK,KI,GR,RO,IF,AO,ZP,CP,YB
2026-07-13,146.0,152.0,143.0,148.0,798100,0.0,0.0309,0.0001,0.0,0.0,0.0002,0.0,0.0018,-0.001,0.0,-0.0679,0.0,0.0,0.0001,0.0,0.0369,0.0002,0.0001,0.0,-0.0,-0.0022,0.0001,0.0,0.0,-0.0001,0.0,0.0007
2026-07-14,147.0,148.0,144.0,145.0,622800,0.0,0.0001,-0.073,0.0,0.0,-0.0002,0.0,-0.0066,-0.0001,0.0,0.0034,0.0016,0.0,0.0731,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0
2026-07-15,148.0,149.0,147.0,147.0,96700,0.0,-0.0077,0.0,0.0,0.0,-0.0006,0.0,0.0055,-0.0002,0.0003,0.0022,-0.0016,0.0,-0.0001,0.0,0.002,0.0005,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0002,-0.0004,0.0,0.0
2026-07-16,145.0,150.0,139.0,148.0,2149300,0.0,0.0333,-0.1412,0.0003,0.0,-0.002,0.0,0.0276,0.0112,-0.0003,0.0275,-0.0003,0.0,-0.0727,0.0006,0.1085,0.0058,0.0001,0.0,0.0,0.0012,0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-17,145.0,146.0,142.0,144.0,171900,0.0001,-0.0014,-0.0008,-0.0001,-0.0001,0.0001,-0.0,-0.0046,-0.0008,0.0,0.0006,0.0101,0.0,0.0001,-0.0,-0.0004,-0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,145.0,147.0,144.0,146.0,279600,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,147.0,148.0,143.0,145.0,261900,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,146.0,148.0,140.0,147.0,1645200,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,147.0,147.0,145.0,146.0,1068500,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,145.0,148.0,140.0,147.0,944400,,,,,,,,,,,,,,,,,,,,,,,,,,,
