Date,Close,High,Low,Open,Volume,CP,PD,DR,YP,XL,YU,ZP,XC,OD,CC,SQ,NI,EP,AZ,MG,TP,BQ,DH,LG,RO,AT
2026-07-13,1705.0,1800.0,1695.0,1695.0,25000,0.0,0.0,0.0,-0.0004,-0.0013,0.0005,0.0,0.0042,0.0002,-0.0002,0.0,-0.0033,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1715.0,1725.0,1710.0,1710.0,5600,0.0,0.0005,0.0,0.0007,0.0009,0.001,0.0,-0.0012,0.0,0.0009,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,-0.0019,-0.0007,0.0
2026-07-15,1715.0,1745.0,1705.0,1720.0,11600,0.0017,0.0,0.0,0.0052,-0.0012,-0.0009,0.0009,-0.0002,0.0002,-0.0007,0.0,0.0012,-0.0017,0.0,0.0,0.0009,-0.0055,0.0002,0.0,0.0,0.0
2026-07-16,1685.0,1740.0,1675.0,1725.0,13400,0.001,0.0043,0.0,0.0036,-0.0067,-0.0072,0.0,-0.0002,0.0003,-0.0002,0.0003,0.0002,0.0002,0.0002,0.0042,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1720.0,1720.0,1675.0,1685.0,8800,0.0003,0.0044,-0.0002,0.0047,-0.0095,-0.0003,-0.0002,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1700.0,1755.0,1700.0,1700.0,21700,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1725.0,1745.0,1675.0,1730.0,76100,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1725.0,1785.0,1705.0,1735.0,32800,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1730.0,1765.0,1700.0,1710.0,29300,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1750.0,1770.0,1710.0,1735.0,20300,,,,,,,,,,,,,,,,,,,,,
