Date,Close,High,Low,Open,Volume,CP,GR,XL,PD,YP,CC,XA,EP,KK,AG,AT,XC,OD,QA,BQ,NI,AZ,RO,DH,MG,IF
2026-07-13,151.0,152.0,148.0,152.0,52900,0.0,0.0,-0.0037,0.0,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0051,0.0,-0.0002,0.0001,-0.0,0.0,0.0,0.0
2026-07-14,149.0,159.0,147.0,151.0,121600,0.0,0.0,-0.0032,0.0076,0.0,-0.0014,0.0,0.0004,-0.0035,0.0,0.0,-0.0005,0.0,-0.005,0.0,0.0025,0.0,0.0,0.0,0.0,0.0031
2026-07-15,151.0,151.0,147.0,150.0,13500,0.0,0.0,-0.0007,-400.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0002,-0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0004
2026-07-16,150.0,165.0,149.0,151.0,488300,0.0,0.0,0.0003,-0.0,0.0026,0.0017,0.0,-0.0002,-0.0,0.0012,0.0,0.0016,-0.0004,0.0001,-0.0056,-0.0014,0.0,0.0001,0.0,0.0,0.0
2026-07-17,157.0,177.0,149.0,149.0,1966700,-0.0015,-0.0022,0.0091,-0.0023,-0.0171,-0.0001,-0.0,-0.0002,0.0008,-0.0014,0.0002,-0.0035,0.0013,0.0164,-0.0007,0.0001,0.0002,-0.0001,0.0008,0.0002,0.0
2026-07-20,156.0,166.0,155.0,157.0,216400,,,,,,,,,,,,,,,,,,,,,
2026-07-21,165.0,189.0,160.0,169.0,1504500,,,,,,,,,,,,,,,,,,,,,
2026-07-22,157.0,165.0,157.0,165.0,175100,,,,,,,,,,,,,,,,,,,,,
2026-07-23,156.0,159.0,154.0,158.0,118800,,,,,,,,,,,,,,,,,,,,,
2026-07-24,154.0,159.0,154.0,156.0,14300,,,,,,,,,,,,,,,,,,,,,
