Date,Close,High,Low,Open,Volume,DH,EP,AK,MG,XA,OD,GR,CP,HD,CC,BS,YP,RG,KZ,AT,PD,IF,XL,PF,TP,FZ,MU,GI,LG,YB,KI,YJ,ID,RX,ZP,DX,AI,BK,YU,FS,HP,LS,DR,RO,SQ,NI,AZ,XC,BQ,KK,QA,PC,SF,IH,AR,AO,TF,PP,RB,OK,PG,BB,EL,AG,CD,BR,PO,ES,MI,SH,IU,PI,ZR,SS
2026-07-13,1010.0,1015.0,975.0,995.0,26351100,0.0263,0.1275,-2.6,0.289,-0.0207,0.0556,0.0091,1.8,-0.0857,-2.5,0.0,0.3302,0.0,3.9,0.1428,0.1469,0.0793,0.925,0.0,0.7212,0.0199,0.0,0.0,0.064,-0.6979,-0.0051,0.0,0.0,0.0,0.0964,-0.0028,0.0,-2.4,0.1058,0.0,0.0102,0.0,-0.1914,0.0101,0.581,-0.2303,0.0,-0.0205,0.018,-0.0992,0.0106,0.0,0.0,0.0,0.0197,0.0,-0.0,0.0,0.0,0.0,0.0,-0.2626,-0.0003,0.1019,0.0,0.0895,0.0,0.0,-0.69,-0.0003,0.0,0.0,0.0,0.0
2026-07-14,1035.0,1070.0,990.0,1000.0,53642700,0.0122,-0.111,11.2,-0.3102,-0.3785,-0.6807,0.3002,-2.6,-0.2525,5.5,0.0,-1.6,0.0031,7.3,-0.1589,0.6262,-0.8815,-5.3,0.0,-0.0984,0.1912,0.0,0.0,0.2201,0.0,0.0,0.0896,0.0,0.0,-0.3903,0.0041,1.2,-9.8,-0.1258,0.0,0.0094,-0.1082,0.4575,-0.0814,-1.4,-0.6073,0.221,-0.2547,-0.2741,-0.6564,0.0,0.0,0.0,0.0,-0.0843,0.0,0.0211,0.0,0.0,0.0,0.0,0.0,0.0,-0.1028,-0.2157,0.0001,0.0,0.0065,-0.6815,0.0,0.0,0.0,0.0,0.0
2026-07-15,1055.0,1065.0,1025.0,1055.0,45748400,-0.0565,0.2979,2.2,0.0128,0.4736,1.8,-0.0123,1.0,-0.0282,-3.3,0.0,2.0,0.0,0.449,-0.0287,0.1673,0.0,-0.1195,0.0,-1.1,0.0011,0.0,0.0,1.9,0.0174,-0.0284,-0.2112,0.0,0.0,1.5,-0.0018,-1.3,-10.2,5.4,0.0,-0.0079,-0.1239,0.1552,-0.5587,-0.7196,0.0323,0.0229,0.0727,0.1017,-0.4842,0.0,0.0,0.0,-0.001,-0.032,0.0049,0.0003,0.0,0.0,0.0,0.0,0.8765,-0.0106,-0.0691,-0.0011,-0.0905,0.0001,-0.0762,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1110.0,1130.0,1040.0,1060.0,55844600,-0.0557,-0.3117,-5.4,-0.1595,-0.5355,5.1,-0.343,0.1941,-0.0502,-4.5,0.0,-3.4,0.0,0.028,0.0033,0.6776,0.6117,2.6,0.0,0.123,0.003,-0.0108,0.0,0.0438,-0.1966,-0.0206,-0.0237,0.0,0.0,-1.2,0.0006,0.6559,-0.4591,3.0,0.0001,-0.0329,-0.276,0.2456,0.4965,1.2,0.0488,2.1,-0.3824,-0.0496,-0.2694,0.0009,0.0007,-0.0118,0.0232,-0.1782,0.4414,-0.0333,0.2353,0.0058,-0.11,-0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1080.0,1115.0,1070.0,1110.0,31371700,0.1317,0.138,-4.8,-0.272,0.0197,1.8,0.4663,-0.0795,0.074,1.0,2.0,1.2,-0.0052,1.7,0.0441,0.2207,-1.3,3.5,0.0019,-0.1166,0.006,0.0015,-0.0001,-0.2087,0.1055,-0.0013,-0.541,0.0615,-4.9,-1.2,-0.0076,0.2166,0.0571,0.659,-0.0001,-0.0096,0.01,-0.1824,0.0577,-0.6125,0.3839,-0.0056,0.9494,-0.0356,-0.5488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1085.0,1095.0,1070.0,1080.0,14502100,-0.0909,0.3229,0.0446,0.0032,0.2172,0.2695,-0.2254,0.0258,-0.0784,-2.1,0.0,0.157,0.0027,0.8968,0.0992,-0.0005,-0.054,0.6308,0.0,0.052,-0.0003,0.0,0.0,-1.4,0.0663,0.0219,-0.2021,0.0,0.0,-0.4293,0.0109,0.4237,-0.0828,0.4454,0.0,0.0,-0.0152,-0.0666,0.0505,0.5092,0.8403,-0.0749,-0.1855,-0.0154,-0.1135,500.0,0.0001,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465,0.0,0.0,0.0,0.0,-0.0217,0.0,0.0,0.0,0.0011
2026-07-21,1090.0,1120.0,1080.0,1085.0,42382900,0.5498,0.3782,-0.7588,0.0,0.2943,-0.9306,0.2701,1.1,-0.0212,0.1538,0.0,1.7,0.0,0.0,0.2782,2.9,0.6193,-0.0571,-0.002,0.0,0.2966,0.0,0.0,0.3818,-0.0215,-0.0216,0.0,0.0,0.0,1.1,-0.0311,0.2911,-0.043,-14.9,0.0,0.0,0.3234,0.1844,-0.0001,0.4307,-0.8513,0.2155,0.3752,0.4081,1.7,0.0,0.0,0.0,0.0,0.0,0.2168,0.0,0.0,-0.0055,0.1085,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0
2026-07-22,1110.0,1145.0,1095.0,1115.0,41922100,0.3577,-0.3483,-3.0,2.2,-0.1643,-0.6711,1.0,-0.5118,0.0168,-1.1,0.0055,0.8546,0.0,0.0,-0.3202,-2.6,-0.6473,-0.7339,0.0011,0.0782,0.0178,0.0,0.0,0.2812,0.0765,-0.0069,0.253,0.0,0.0,2.4,0.0117,0.5622,-0.0451,2.9,0.0,-0.0044,0.0312,-0.1814,-0.0129,0.1166,0.0785,0.3733,-0.5545,0.1415,-0.1889,-0.0001,0.0,0.0,-0.0011,-0.0563,-0.3382,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,-0.0093,0.034,0.0,0.0,0.0,-0.209,0.0,-0.0691,-0.001,0.009,0.0
2026-07-23,1135.0,1170.0,1110.0,1120.0,83884300,-1.8,-0.599,5.9,-4.9,-0.6339,13.6,-0.122,-0.8045,0.0,4.0,0.0157,-2.0,0.0017,13.6,-0.1198,-3.2,0.0,-11.8,0.0,-0.2073,-0.2808,0.0,0.0002,-1.0,0.0,0.0,0.1819,0.0,0.0,4.8,0.0,-2.5,1.4,-5.2,0.0,0.0,-0.5039,-0.6462,-0.1202,-3.0,-0.6006,-1.0,-2.5,-0.1753,0.4697,0.0,0.0,0.0,0.0,0.0,-0.3443,0.0019,0.0,0.0,0.0,0.0,0.3331,0.0,0.0,-0.1479,0.0,0.0,0.0,0.5311,0.0498,0.0339,0.0,0.0,0.0
2026-07-24,1055.0,1120.0,1050.0,1120.0,29922800,-0.0664,0.7814,-4.1,-0.4858,0.1203,-0.7559,0.1212,0.5511,0.0,-3.0,0.0,0.7599,-0.0058,2.0,0.0,0.9936,0.0,1.0,0.0,0.0967,0.0,0.0,0.0,1.3,0.047,0.0,0.3665,0.0,0.0,0.3832,0.0451,0.329,-0.8112,-2.1,0.0,0.0779,0.2207,-0.024,0.0544,-0.8867,1.5,-0.0102,0.5178,0.1123,0.1844,0.0,0.0,0.0,0.0,0.107,-0.0049,0.0,0.0,0.0,0.0,0.0,0.8491,0.0,0.1137,-0.01,0.0,0.0,0.0,-0.334,-0.0453,-0.0109,0.0,0.0,0.0
