Date,Close,High,Low,Open,Volume,CP,PD,XL,YP,XA,CC,EP,KK,AG,AT,XC,OD,BQ,NI,YU,AZ,YB,HP,RO,MG,DR,SQ,GR,YJ,RG
2026-07-13,98.0,101.0,95.0,100.0,937000,0.0,0.0156,-0.0004,0.0187,0.0146,0.0004,0.0,0.0016,0.0004,0.0,0.0008,0.0005,0.0,0.0002,0.0,-0.001,-0.0021,0.0,-0.0001,0.0,0.0001,-0.0108,-0.037,0.0015,-0.003
2026-07-14,101.0,101.0,98.0,98.0,772800,0.0,-0.007,-0.005,0.0078,0.0011,0.0019,0.0,-0.0171,0.0003,0.0,0.0299,0.0003,0.0,-0.018,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,-0.0012,0.0081,0.0,0.0
2026-07-15,100.0,105.0,99.0,100.0,1337400,0.0,0.0009,0.0537,-0.03,-0.001,-0.0084,0.0,0.0,0.0008,-0.0004,-0.0014,-0.0,0.0,0.0062,-0.0,-0.0056,0.0005,0.0,-0.0,0.0001,0.0,-0.0112,-0.0041,0.0,0.0
2026-07-16,100.0,103.0,100.0,101.0,493100,0.0,0.0018,0.0073,0.015,-0.0008,0.0046,0.0,-0.0251,-0.0001,0.0,-0.0041,0.0001,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0001,0.0,0.0,0.0
2026-07-17,100.0,105.0,100.0,101.0,3222400,0.0022,0.0028,-0.0252,0.0177,0.0058,-0.0486,0.001,0.0491,-0.0002,-0.0003,0.0003,-0.0007,0.0124,-0.0128,-0.0001,0.0033,-0.0005,-0.0016,-0.0,-0.0048,0.0,0.0,0.0,0.0,0.0
2026-07-20,102.0,103.0,100.0,100.0,1375700,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,102.0,103.0,100.0,102.0,2258400,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,106.0,109.0,100.0,102.0,3601900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,103.0,109.0,102.0,107.0,4184000,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,101.0,105.0,100.0,105.0,2108500,,,,,,,,,,,,,,,,,,,,,,,,,
