Date,Close,High,Low,Open,Volume,XC,EP,TP,KK,ZP,AK,AG,XL,YP,CC,PD,YU,NI,GR,HD,CP
2026-07-13,1080.0,1080.0,1070.0,1080.0,2277500,0.0005,0.0,-0.144,-0.0008,-1.4,0.0186,0.0,-0.001,0.0,-0.6117,2.2,0.0,0.0,0.0,0.0,-0.0016
2026-07-14,1080.0,1080.0,1065.0,1080.0,2089200,0.0119,0.0,-0.0715,-0.0011,-1.6,0.0121,0.0,0.0,0.0018,-0.353,2.0,0.0,-0.001,0.0,0.0,-0.0007
2026-07-15,1080.0,1080.0,1075.0,1080.0,213000,-0.012,0.0,-0.212,-0.0,0.0,0.02,0.0,0.0083,0.0,0.0,0.2006,0.0,0.0,0.0,-0.0049,0.0
2026-07-16,1080.0,1080.0,1075.0,1075.0,2604200,0.0001,0.0,-0.4881,-0.0001,-2.2,0.017,0.0,-0.0035,0.0,0.0,2.7,-0.0891,0.0009,0.0001,0.0,0.0
2026-07-17,1080.0,1080.0,1075.0,1080.0,2259100,0.0001,-0.0001,-0.2214,-0.0001,-2.2,0.0242,-0.0215,0.005,-0.0025,-0.0016,2.4,0.0,0.0,0.0,0.0,0.0
2026-07-20,1075.0,1080.0,1070.0,1080.0,260100,,,,,,,,,,,,,,,,
2026-07-21,1075.0,1080.0,1065.0,1070.0,367500,,,,,,,,,,,,,,,,
2026-07-22,1075.0,1080.0,1070.0,1080.0,414900,,,,,,,,,,,,,,,,
2026-07-23,1075.0,1080.0,1070.0,1070.0,302900,,,,,,,,,,,,,,,,
2026-07-24,1075.0,1075.0,1075.0,1075.0,105000,,,,,,,,,,,,,,,,
