Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,QA,SH,DR,SQ,YP,SS,HP,XC,LG,KK,XL,FS,YJ,AI,DH,IF,AZ,MG,PC,LS,CP,BK,RO,YU,AK,AT,ZP,TF,TP,EP,CD,PD,BQ,AG,GR,CC,GI,DP,KI,MU,DX,IU,FZ,RB,ES,MI,RS
2026-07-13,51.0,52.0,50.0,51.0,58773800,-0.0747,0.0,-0.003,-0.0065,0.0,0.0,-0.005,0.0,0.7775,0.1151,0.0,0.0,0.0039,-0.0,0.0007,0.013,0.0,0.0,-0.102,-0.0076,0.0,-0.1061,0.2652,0.0,0.0,-0.1188,-0.306,0.001,-0.005,0.3915,0.0005,0.002,0.0,0.0,0.0031,0.0,-0.1206,0.0001,0.0,0.0357,-0.0166,0.0,-0.2635,0.0011,-0.3521,-0.0071,-0.0549,-0.0607,0.0,0.0,0.0,0.0
2026-07-14,52.0,52.0,51.0,51.0,18789200,0.0153,0.0515,0.0446,-0.0004,0.0516,0.0,0.0,0.0002,0.002,0.1145,0.0,0.054,0.0184,0.0001,-0.0191,0.0911,0.0,-0.0,0.0,-0.0011,0.0,-0.0013,-0.1145,0.0,0.0,0.0007,0.0,-0.001,0.0,0.0509,0.0,0.0276,0.0,0.0,-0.0076,-0.0004,-0.356,0.0052,-0.0121,0.033,0.0089,0.0,0.0,0.0005,-0.0567,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,51.0,52.0,51.0,52.0,15345300,0.1214,0.0,0.0001,-0.0653,-0.052,0.0,0.0,-0.0008,0.0121,0.0722,0.0,-0.1428,-0.0742,-0.0001,0.0896,0.1074,0.0,-0.0013,0.0,0.0008,0.0,0.0515,-0.0429,0.0,0.0006,0.0495,0.0,0.0,-0.0001,0.0046,-0.005,0.0973,0.0,0.0,0.001,-0.0,-0.007,0.0,-0.0025,0.0357,-0.0447,0.0,0.0,0.0,-0.2052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,53.0,53.0,51.0,51.0,45465800,0.9431,0.0,-0.0572,-0.0974,-0.0005,0.0051,0.0,-0.0103,0.0032,-0.3421,0.0,0.0147,-0.002,-0.0014,-0.1048,0.0353,0.0,0.0,0.0,-0.0055,0.0,-0.0056,-0.2431,-0.0,0.0,-0.0757,0.1665,0.0,0.0218,0.0424,-0.0085,-0.134,0.0,-0.0041,-0.0292,0.0,-0.1055,0.0159,-0.0031,0.0321,-0.0468,0.0,-0.0025,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,54.0,54.0,52.0,53.0,33809200,-0.2184,-0.2146,0.0255,-0.0057,0.0052,-0.0052,-0.0016,-0.0127,-0.0511,-0.0707,-0.0027,0.0101,0.0112,-0.0317,-0.0232,0.1068,-0.0003,0.0105,-0.0,0.0001,0.0002,-0.0654,0.2905,0.0002,0.0001,0.0059,-0.2264,0.0,-0.0053,-0.0252,0.0006,-0.0012,0.054,0.2381,0.05,0.0,0.0421,0.1193,-0.0002,-0.0343,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,55.0,55.0,53.0,54.0,73550900,0.2175,0.054,-0.0003,1.4,-0.0152,0.0,-0.0027,-0.0001,0.0008,-0.1381,0.0,0.0069,-0.1129,-0.2176,0.1154,-0.3539,0.0,-0.0014,0.0,0.1054,0.0,-0.0063,-0.1977,0.0003,0.0,-0.9491,-0.0594,0.0,0.0059,-0.0917,-0.0054,0.0404,0.0,-0.0002,0.0125,0.081,0.1739,-0.0008,-0.0005,0.0702,-0.0989,0.0,0.0,0.0,0.0,0.0027,0.0,-0.0039,0.0,0.0,0.0,0.0
2026-07-21,55.0,56.0,53.0,55.0,95759000,-0.3216,0.0,0.0391,0.296,0.0711,-400.0,-0.0011,0.0004,0.1068,-0.2837,0.0,0.0002,-0.5841,-0.0205,0.0944,0.0573,-0.0003,0.0001,-0.001,0.0124,0.0,-0.0018,0.169,0.0,0.0,0.1272,0.006,0.0008,-0.0055,0.3329,-0.0003,-0.0014,0.0,-0.0547,-0.002,0.0,-0.1596,-0.0277,0.0545,-0.024,0.1031,0.0,0.0,0.0045,-0.0,-0.0055,0.0,0.0,-0.0001,0.0,0.0082,0.011
2026-07-22,55.0,56.0,53.0,55.0,106271100,-0.0081,0.0,-0.0302,0.4641,-0.0478,0.0002,0.0,-0.0334,-0.0516,-0.7583,0.0,0.0942,-0.2036,0.0,-0.0779,-0.803,0.0,-0.0003,0.0,-0.0557,0.0,-0.0038,-0.1609,-0.0,0.0011,1.7,0.0089,0.0003,0.0009,0.0586,-0.0001,-0.0091,0.0,-0.0548,-0.0356,0.0,0.035,0.1177,-0.0003,-0.0394,-0.0729,0.0,-0.005,-0.0044,0.0,0.0,0.0,-0.0003,0.0,0.0004,0.0009,-0.0108
2026-07-23,55.0,57.0,54.0,55.0,92126000,-0.2925,-0.7574,0.0569,-0.0853,0.0001,-0.0002,-0.0057,-0.0548,0.0755,-0.082,0.0,0.0618,0.0614,-0.0011,-0.0318,-0.004,0.0,-0.0016,0.0,0.0063,0.001,-0.0047,-0.0396,-0.0,0.0,1.7,0.0,0.0001,-0.0294,-0.0716,-0.0004,-0.0715,0.0,-0.0693,0.0129,0.0,-0.1877,-0.0113,0.0784,-0.0144,-0.24,0.0,0.0,0.001,-0.0004,0.0028,0.0,0.0,-0.0008,0.0,0.0,0.0
2026-07-24,53.0,56.0,53.0,55.0,103811800,0.1589,0.0712,-0.1034,0.0048,0.0217,0.0,-0.0053,0.005,0.0111,0.6501,0.0,0.0578,-0.0185,0.0019,-0.0418,0.4074,0.0,0.0001,0.0,-0.0153,0.0,0.0024,1.1,0.0,-0.0001,-2.5,0.0151,-0.0002,0.0067,0.1741,0.0001,-0.1556,0.0,-0.0055,0.0065,0.0,0.0325,-0.1753,-0.0005,0.0254,0.1841,0.0,-0.0013,0.0,0.0436,0.0001,0.0,0.0353,0.0,0.0,0.0,0.0
